polo_id,polo,tipo_de_borde,barrio_usado,fuente_geometria,n_locales,superficie_ha,locales_por_ha,definicion_continuidad,continuidad_pct_20m,continuidad_pct_40m,continuidad_pct_60m,continuidad_pct_80m,continuidad_pct_120m
R01,Palermo,borde_propio,,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",1916,385.51,4.97,porcentaje de locales en la componente conexa mayor,1.4,20.9,42.3,48.5,80.0
R02,Avenida Corrientes,borde_propio,,geometria_r7/zonas_r7.geojson#R02,354,49.67,7.13,porcentaje de locales en la componente conexa mayor,3.7,24.3,79.7,100.0,100.0
R03,San Telmo,borde_propio,,geometria_r7/zonas_r7.geojson#R03,71,25.37,2.8,porcentaje de locales en la componente conexa mayor,8.5,23.9,59.2,59.2,80.3
R04,Puerto Madero,borde_propio,,geometria_r7/zonas_r7.geojson#R04,354,314.54,1.13,porcentaje de locales en la componente conexa mayor,2.0,5.9,12.4,16.4,28.8
R05,Belgrano,borde_propio,,geometria_r7/zonas_r7.geojson#R05,343,39.65,8.65,porcentaje de locales en la componente conexa mayor,8.5,18.1,48.4,48.4,49.0
R06,Recoleta,borde_propio,,geometria_r7/zonas_r7.geojson#R06,714,140.52,5.08,porcentaje de locales en la componente conexa mayor,2.2,7.8,23.1,68.3,100.0
R07,Costanera Norte,borde_propio,,geometria_r7/zonas_r7.geojson#R07,67,38.5,1.74,porcentaje de locales en la componente conexa mayor,7.5,26.9,49.3,49.3,52.2
R08,Villa Crespo,borde_propio,,geometria_r7/zonas_r7.geojson#R08,823,335.46,2.45,porcentaje de locales en la componente conexa mayor,1.0,4.5,7.9,42.3,93.1
R09,Chacarita,borde_propio,,geometria_r7/zonas_r7.geojson#R09,202,94.81,2.13,porcentaje de locales en la componente conexa mayor,5.4,6.4,15.3,29.2,51.5
R10,Caballito,borde_propio,,geometria_r7/zonas_r7.geojson#R10,508,225.36,2.25,porcentaje de locales en la componente conexa mayor,1.2,7.7,15.0,27.0,92.5
R11,Boulevard Caseros,borde_propio,,geometria_r7/zonas_r7.geojson#R11,60,50.03,1.2,porcentaje de locales en la componente conexa mayor,6.7,11.7,13.3,25.0,25.0
R12,Centro y Microcentro,borde_propio,,geometria_r7/zonas_r7.geojson#R12,1084,184.12,5.89,porcentaje de locales en la componente conexa mayor,1.3,11.4,33.3,34.5,58.9
R13,Abasto,borde_propio,,geometria_r7/zonas_r7.geojson#R13,373,109.0,3.42,porcentaje de locales en la componente conexa mayor,2.7,9.1,31.4,87.7,99.7
R14,Avenida Boedo,borde_propio,,geometria_r7/zonas_r7.geojson#R14,245,179.46,1.37,porcentaje de locales en la componente conexa mayor,2.0,5.7,20.4,27.8,49.0
R15,Devoto,borde_propio,,geometria_r7/zonas_r7.geojson#R15,422,478.74,0.88,porcentaje de locales en la componente conexa mayor,2.8,10.2,12.6,14.2,25.4
R16,Donado–Holmberg,borde_propio,,geometria_r7/zonas_r7.geojson#R16,121,119.0,1.02,porcentaje de locales en la componente conexa mayor,3.3,9.1,14.0,30.6,37.2
R17,Villa Urquiza,borde_propio,,geometria_r7/zonas_r7.geojson#R17,528,446.62,1.18,porcentaje de locales en la componente conexa mayor,0.9,2.5,10.4,24.6,74.2
R19,Federico Lacroze,borde_propio,,geometria_r7/zonas_r7.geojson#R19,532,303.28,1.75,porcentaje de locales en la componente conexa mayor,2.1,4.9,8.1,11.8,55.5
R20,García del Río,borde_propio,,geometria_r7/zonas_r7.geojson#R20,102,61.0,1.67,porcentaje de locales en la componente conexa mayor,4.9,5.9,10.8,46.1,64.7
R21,La Paternal,borde_propio,,geometria_r7/zonas_r7.geojson#R21,307,385.34,0.8,porcentaje de locales en la componente conexa mayor,2.3,3.6,7.5,10.1,27.0
Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,borde_propio,,geometria_r7/zonas_r7.geojson#Z24,107,39.51,2.71,porcentaje de locales en la componente conexa mayor,10.3,39.3,42.1,54.2,98.1
Z27,Villa Santa Rita,poligono_de_barrio,VILLA SANTA RITA,insumos/caba_barrios.geojson#VILLA SANTA RITA,182,215.47,0.84,porcentaje de locales en la componente conexa mayor,3.8,7.1,7.1,19.8,23.1
Z28,Monte Castro,borde_propio,,ronda_15/geometria/perimetros_18.geojson#Z28,69,28.73,2.4,porcentaje de locales en la componente conexa mayor,7.2,17.4,33.3,39.1,56.5
Z31,Villa Luro,borde_propio,,ronda_15/geometria/perimetros_18.geojson#Z31,41,13.7,2.99,porcentaje de locales en la componente conexa mayor,9.8,29.3,43.9,48.8,100.0
Z32,Liniers · Mercado Andino,borde_propio,,ronda_15/geometria/perimetros_18.geojson#Z32,63,7.0,9.0,porcentaje de locales en la componente conexa mayor,17.5,41.3,98.4,100.0,100.0
Z33,Mataderos,poligono_de_barrio,MATADEROS,insumos/caba_barrios.geojson#MATADEROS,375,740.16,0.51,porcentaje de locales en la componente conexa mayor,1.6,3.7,6.9,11.2,20.8
Z35,Balvanera · Once,borde_propio,,geometria/perimetros_cierre.geojson#Z35:zona_entera,74,19.18,3.86,porcentaje de locales en la componente conexa mayor,5.4,27.0,73.0,83.8,100.0
Z37,Almagro,borde_propio,,geometria/perimetros_cierre.geojson#Z37:zona_entera,207,60.9,3.4,porcentaje de locales en la componente conexa mayor,3.9,9.7,20.3,57.5,63.8
Z39,Parque Avellaneda,borde_propio,,geometria/perimetros_cierre.geojson#Z39:zona_entera,11,75.26,0.15,porcentaje de locales en la componente conexa mayor,27.3,27.3,45.5,45.5,54.5
Z39b,Baek-ku · Barrio Coreano,borde_propio,,geometria_r7/zonas_r7.geojson#Z39b,38,34.86,1.09,porcentaje de locales en la componente conexa mayor,10.5,42.1,57.9,68.4,76.3
Z40,Nueva Pompeya y Parque Patricios,borde_propio,,geometria/perimetros_cierre.geojson#Z40:zona_entera,112,69.06,1.62,porcentaje de locales en la componente conexa mayor,4.5,8.0,17.9,18.8,53.6
Z41,Núñez,poligono_de_barrio,NUÑEZ,insumos/caba_barrios.geojson#NUÑEZ,494,442.64,1.12,porcentaje de locales en la componente conexa mayor,2.0,3.2,5.9,13.6,74.3
Z43,Colegiales,borde_propio,,geometria_r7/zonas_r7.geojson#Z43,441,229.08,1.93,porcentaje de locales en la componente conexa mayor,1.8,6.1,10.2,25.4,92.3
Z44,Villa Ortúzar,borde_propio,,geometria/perimetros_cierre.geojson#Z44:zona_entera,69,34.39,2.01,porcentaje de locales en la componente conexa mayor,8.7,21.7,23.2,39.1,82.6
Z46,Retiro,poligono_de_barrio,RETIRO,insumos/caba_barrios.geojson#RETIRO,597,451.52,1.32,porcentaje de locales en la componente conexa mayor,2.0,24.8,50.1,56.1,93.3
Z47,Monserrat y Congreso,borde_propio,,ronda_15/geometria/perimetros_18.geojson#Z47,133,13.77,9.66,porcentaje de locales en la componente conexa mayor,9.0,36.1,74.4,74.4,74.4
