concentracion_id,concentracion_nombre,ha,n_locales_medidos,n_locales_de_la_capa,polo,polo_nombre,estado,pct_de_la_concentracion_dentro,ha_de_la_concentracion_fuera,polos_que_toca,n_polos_que_toca,polo_es_transitorio
P001,Costanera Norte,12.11,40,44,R07,Costanera Norte,mayormente dentro,51.3,5.9,R07,1,no
P002,Villa Soldati · Av. Fernández de la Cruz y Mariano Acosta°,63.36,59,68,,,fuera de todo polo,0.0,63.36,,0,no
P003,Villa Riachuelo · Av. Gral. Paz y Chilavert°,39.82,83,91,,,fuera de todo polo,0.0,39.82,,0,no
P004,Av. Eva Perón entre Escalada y Castañares°,144.02,132,141,,,fuera de todo polo,0.0,144.02,,0,no
P005,Av. Larrazábal y Av. Riestra (Villa Lugano),100.94,92,100,,,fuera de todo polo,0.0,100.94,,0,no
P006,Feria de Mataderos y Casco Histórico,28.18,41,48,Z33,Mataderos,toca el borde,11.0,25.07,Z33,1,si
P007,Bajo Belgrano,8.96,40,45,,,fuera de todo polo,0.0,8.96,,0,no
P008,Distrito de Diseño (Barracas),23.52,38,49,Z51,"Barracas · Iriarte, California y Vieytes",toca el borde,23.8,17.92,Z51,1,no
P009,Parque Avellaneda · Av. Directorio y Lacarra°,24.65,43,50,Z39,Parque Avellaneda,toca el borde,1.2,24.35,Z39,1,no
P010,Vélez Sársfield · Segurola y César Díaz°,10.63,37,43,,,fuera de todo polo,0.0,10.63,,0,no
P011,Saavedra · entorno Dot Baires°,7.08,30,41,,,fuera de todo polo,0.0,7.08,,0,no
P012,Mataderos · Av. Juan B. Alberdi°,32.81,82,90,,,fuera de todo polo,0.0,32.81,,0,no
P013,Mataderos · Av. Alberdi y Saladillo°,10.79,34,42,,,fuera de todo polo,0.0,10.79,,0,no
P014,Bajo Flores · Av. Eva Perón y Varela,45.63,61,64,,,fuera de todo polo,0.0,45.63,,0,no
P015,Parque Chacabuco · Av. Asamblea°,12.12,40,50,,,fuera de todo polo,0.0,12.12,,0,no
P016,Plaza Arenales (Devoto gastronómico),26.72,96,105,R15,Devoto,mayormente dentro,97.4,0.69,R15,1,no
P017,Av. Emilio Castro (Liniers y Mataderos)°,69.8,105,108,,,fuera de todo polo,0.0,69.8,,0,no
P018-1,Villa Devoto · Av. Francisco Beiró°,14.38,55,62,R15,Devoto,contenida,100.0,0.0,R15,1,no
P018-2,Villa Real · Av. Francisco Beiró y Lope de Vega°,11.04,63,73,R15,Devoto,mayormente dentro,53.5,5.13,R15,1,no
P019,San Cristóbal · Av. Jujuy y Av. Brasil°,20.78,32,41,,,fuera de todo polo,0.0,20.78,,0,no
P020,Polo gastronómico de Villa Luro,25.1,87,94,Z31,Villa Luro,toca el borde,36.5,15.95,Z31,1,no
P021,Liniers · centro comercial y microcentro boliviano,77.86,262,262,Z32,Liniers · Mercado Andino,toca el borde,8.7,71.05,Z32,1,no
P022,Saavedra · Av. Ricardo Balbín°,53.59,79,93,R20,Garcia del Rio,toca el borde,29.2,37.92,R20,1,no
P023,Villa Pueyrredón · Av. Artigas°,14.49,36,42,,,fuera de todo polo,0.0,14.49,,0,no
P024,Av. Sáenz (Nueva Pompeya),50.42,95,103,Z40,Nueva Pompeya y Parque Patricios,toca el borde,46.5,26.97,Z40 Z54,2,no
P025-1,Monte Castro · Álvarez Jonte y Segurola°,10.19,37,42,Z28,Monte Castro,mayormente dentro,61.1,3.97,Z28,1,no
P025-2,Monte Castro · Av. Lope de Vega°,4.89,38,47,Z28,Monte Castro,mayormente dentro,74.9,1.23,Z28,1,no
P026,Av. Caseros · tramo Parque Patricios°,27.04,62,67,,,fuera de todo polo,0.0,27.04,,0,no
P027,Distrito Tecnológico (Parque Patricios),100.84,181,189,Z40,Nueva Pompeya y Parque Patricios,toca el borde,28.8,71.77,Z40 R14,2,no
P028,Villa Pueyrredón · Av. Mosconi y Av. Nazca°,12.05,52,60,,,fuera de todo polo,0.0,12.05,,0,no
P029,Boedo · Av. Boedo y Pavón°,13.35,37,45,R14,Avenida Boedo,contenida,99.8,0.03,R14,1,no
P030,Puerto Madero · diques 2 y 3,29.47,110,117,R04,Puerto Madero,mayormente dentro,98.1,0.55,R04,1,no
P031,Floresta · Av. Gaona y Segurola°,7.58,33,42,,,fuera de todo polo,0.0,7.58,,0,no
P032,Caminito y Vuelta de Rocha,20.89,98,105,Z53,La Boca · Caminito y Vuelta de Rocha,toca el borde,18.1,17.1,Z53,1,no
P033,La Boca · Av. Almirante Brown y Necochea°,16.68,44,52,Z52,La Boca · Almirante Brown y Necochea,toca el borde,0.5,16.59,Z52,1,no
P034,Monte Castro · Av. Álvarez Jonte°,10.66,36,40,Z27,Villa Santa Rita,toca el borde,16.5,8.9,Z27,1,no
P035,Villa Devoto · Av. Gral. Mosconi y Av. San Martín°,9.39,34,42,R15,Devoto,mayormente dentro,51.0,4.6,R15,1,no
P036,Av. Gaona y Boyacá°,9.86,33,41,Z27,Villa Santa Rita,toca el borde,1.6,9.7,Z27,1,no
P037,Centro comercial de Av. Cuenca (Villa del Parque),40.81,135,142,,,fuera de todo polo,0.0,40.81,,0,no
P038,Av. San Martín (Villa del Parque y Devoto)°,22.0,89,96,,,fuera de todo polo,0.0,22.0,,0,no
P039,DoHo (Donado-Holmberg) · tramo norte,7.93,34,41,R16,Donado-Holmberg,contenida,100.0,0.0,R16,1,no
P040,Villa Santa Rita · Av. Nazca y Álvarez Jonte°,10.46,45,54,Z27,Villa Santa Rita,mayormente dentro,68.9,3.25,Z27,1,no
P041,Floresta · Av. Rivadavia y Venancio Flores°,12.73,52,60,,,fuera de todo polo,0.0,12.73,,0,no
P042,Floresta · Av. Rivadavia y Segurola°,11.15,53,61,,,fuera de todo polo,0.0,11.15,,0,no
P043,La Isla (La Paternal),91.57,173,161,R21,La Paternal,mayormente dentro,62.3,34.53,R21 R08,2,no
P044,San Cristóbal · Av. San Juan°,17.01,53,62,,,fuera de todo polo,0.0,17.01,,0,no
P045,DoHo (Donado-Holmberg) · tramo sur,63.36,158,147,R17,Villa Urquiza,toca el borde,24.3,47.98,R17 R16 Z44,3,no
P046,Villa Urquiza · Bulevar Mendoza y Av. Triunvirato,114.66,305,291,R17,Villa Urquiza,contenida,99.8,0.18,R17 R16,2,no
P047,Caballito · Av. Avellaneda y Neuquén°,20.49,49,53,R10,Caballito,toca el borde,26.3,15.1,R10,1,no
P048,Colegiales · Av. Álvarez Thomas y Elcano°,50.84,172,171,Z43,Colegiales,mayormente dentro,82.5,8.92,Z43 Z44,2,no
P049,Caballito · entorno Hospital Italiano°,7.63,34,40,R10,Caballito,toca el borde,29.6,5.37,R10,1,no
P050,Caballito · Honorio Pueyrredón y Felipe Vallese°,5.07,34,42,,,fuera de todo polo,0.0,5.07,,0,no
P051,Constitución°,31.7,118,123,R11,Boulevard Caseros,toca el borde,6.0,29.78,R11,1,no
P052,Villa Santa Rita · Av. Cuenca y Morón°,36.69,134,124,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,toca el borde,47.2,19.36,Z24 Z27,2,no
