polo_a,nombre_a,polo_b,nombre_b,ha_compartidas,locales_compartidos,ha_de_a,ha_de_b,pct_de_a_compartido,pct_de_b_compartido,ha_de_a_fuera_de_b,ha_de_b_fuera_de_a,alguno_es_transitorio,alguno_publica_su_barrio,locales_compartidos_ids
R12,Centro y Microcentro,Z46,Retiro,52.16,301,184.12,467.14,28.3,11.2,131.96,414.98,no,si,LOC000035 LOC000044 LOC000081 LOC000134 LOC000271 LOC000280 LOC000490 LOC000516 LOC000802 LOC000867 LOC001135 LOC001373 LOC001675 LOC001688 LOC001931 LOC001969 LOC002099 LOC002120 LOC002193 LOC002201 LOC002241 LOC002344 LOC002357 LOC002454 LOC002460 LOC002678 LOC002719 LOC002823 LOC002859 LOC003038 LOC003120 LOC003158 LOC003368 LOC003416 LOC003473 LOC003510 LOC003817 LOC003868 LOC003962 LOC004360 LOC004383 LOC004463 LOC004570 LOC004571 LOC004580 LOC004632 LOC004781 LOC004835 LOC005008 LOC005054 LOC005202 LOC005299 LOC005327 LOC005485 LOC005564 LOC005611 LOC005625 LOC005666 LOC005703 LOC005746 LOC005795 LOC005888 LOC005906 LOC005974 LOC005979 LOC006090 LOC006113 LOC006308 LOC006311 LOC006357 LOC006372 LOC006520 LOC006531 LOC006594 LOC007044 LOC007122 LOC007210 LOC007352 LOC007358 LOC007753 LOC007766 LOC007767 LOC007774 LOC007806 LOC007883 LOC007974 LOC008069 LOC008085 LOC008088 LOC008145 LOC008178 LOC008297 LOC008489 LOC008646 LOC008703 LOC008859 LOC008941 LOC008949 LOC008960 LOC009022 LOC009035 LOC009036 LOC009038 LOC009091 LOC009096 LOC009113 LOC009222 LOC009254 LOC009273 LOC009300 LOC009428 LOC009443 LOC009450 LOC009462 LOC009527 LOC009573 LOC009609 LOC009749 LOC009760 LOC009761 LOC009782 LOC009972 LOC010037 LOC010080 LOC010179 LOC010186 LOC010462 LOC010463 LOC016118 LOC016119 LOC016131 LOC016134 LOC016139 LOC016140 LOC016166 LOC016206 LOC016211 LOC016214 LOC016216 LOC016219 LOC016220 LOC016222 LOC016223 LOC016232 LOC016241 LOC016250 LOC016251 LOC016255 LOC016256 LOC016258 LOC016261 LOC016262 LOC016275 LOC016276 LOC016292 LOC016293 LOC016297 LOC016298 LOC016300 LOC016301 LOC016302 LOC016303 LOC016304 LOC016306 LOC016307 LOC016308 LOC016309 LOC016310 LOC016311 LOC016312 LOC016339 LOC016343 LOC016347 LOC016348 LOC016349 LOC016350 LOC016351 LOC016368 LOC016372 LOC016373 LOC016398 LOC016826 LOC024033 LOC024057 LOC024061 LOC024062 LOC024077 LOC024078 LOC024079 LOC024099 LOC024101 LOC024106 LOC024108 LOC024124 LOC024142 LOC024144 LOC024145 LOC024149 LOC024155 LOC024159 LOC024160 LOC024715 LOC024721 LOC024722 LOC024724 LOC024725 LOC024726 LOC024727 LOC024728 LOC024729 LOC024730 LOC024731 LOC024732 LOC024733 LOC024734 LOC024735 LOC024736 LOC024737 LOC024758 LOC024759 LOC024777 LOC024778 LOC024779 LOC024780 LOC024781 LOC024782 LOC024783 LOC024784 LOC024785 LOC024786 LOC024787 LOC024788 LOC024789 LOC024790 LOC024791 LOC024792 LOC024793 LOC024794 LOC024795 LOC024796 LOC024797 LOC024799 LOC024800 LOC024801 LOC024802 LOC024803 LOC024804 LOC024805 LOC024806 LOC024807 LOC024808 LOC024809 LOC024810 LOC024811 LOC024815 LOC024816 LOC024817 LOC024826 LOC024827 LOC024828 LOC024829 LOC024831 LOC024832 LOC024833 LOC024834 LOC024835 LOC024836 LOC024837 LOC024838 LOC024839 LOC024840 LOC024846 LOC024847 LOC024848 LOC024849 LOC024850 LOC024851 LOC024852 LOC024853 LOC024854 LOC024855 LOC024856 LOC024857 LOC024858 LOC024859 LOC024860 LOC024861 LOC024862 LOC024874 LOC024875 LOC024883 LOC024884 LOC024885 LOC024886 LOC024897 LOC024898 LOC024902 LOC024905 LOC024906 LOC024907 LOC024911
R09,Chacarita,R19,Federico Lacroze,60.37,153,94.81,303.28,63.7,19.9,34.44,242.91,no,no,LOC000056 LOC000235 LOC000450 LOC000502 LOC000606 LOC000624 LOC001006 LOC001482 LOC001528 LOC001565 LOC001930 LOC002233 LOC002311 LOC002388 LOC002434 LOC002559 LOC003637 LOC003771 LOC003924 LOC004046 LOC004183 LOC004218 LOC004280 LOC004291 LOC004546 LOC005277 LOC005319 LOC005587 LOC005821 LOC005871 LOC006074 LOC006216 LOC006479 LOC006614 LOC007189 LOC007190 LOC007427 LOC007616 LOC007926 LOC007969 LOC008092 LOC008094 LOC008121 LOC008206 LOC008234 LOC008265 LOC008279 LOC008486 LOC008730 LOC008803 LOC008820 LOC008869 LOC008904 LOC009148 LOC009413 LOC009416 LOC009626 LOC009957 LOC009961 LOC009965 LOC010096 LOC010607 LOC014073 LOC014075 LOC014119 LOC014121 LOC014122 LOC014129 LOC014130 LOC014131 LOC014132 LOC014133 LOC014137 LOC014140 LOC014162 LOC014166 LOC014168 LOC015432 LOC015433 LOC015457 LOC015458 LOC015465 LOC015467 LOC015468 LOC015469 LOC015470 LOC015471 LOC015472 LOC015473 LOC015474 LOC015484 LOC015485 LOC017386 LOC017391 LOC017393 LOC017394 LOC017401 LOC017402 LOC017409 LOC017416 LOC017418 LOC017423 LOC017429 LOC017436 LOC017437 LOC017438 LOC017439 LOC017442 LOC017447 LOC017448 LOC017449 LOC017455 LOC017457 LOC017458 LOC017459 LOC017460 LOC017461 LOC017462 LOC017466 LOC017467 LOC017468 LOC017469 LOC017470 LOC017471 LOC017474 LOC017476 LOC017479 LOC017480 LOC017485 LOC017489 LOC017493 LOC017496 LOC017498 LOC017499 LOC017500 LOC017504 LOC017505 LOC017506 LOC017509 LOC017510 LOC017511 LOC017513 LOC017514 LOC017518 LOC017532 LOC017534 LOC017537 LOC018452 LOC018453 LOC018470 LOC018474 LOC018559 LOC020109
R02,Avenida Corrientes,R12,Centro y Microcentro,21.72,133,49.67,184.12,43.7,11.8,27.95,162.39,no,no,LOC000152 LOC000664 LOC000682 LOC000832 LOC001094 LOC001114 LOC001631 LOC001642 LOC001859 LOC002262 LOC002797 LOC003412 LOC003548 LOC003742 LOC004293 LOC004503 LOC004615 LOC004767 LOC004796 LOC004858 LOC005118 LOC005279 LOC005853 LOC006337 LOC006541 LOC006676 LOC007102 LOC007484 LOC007825 LOC007888 LOC008012 LOC008060 LOC008123 LOC008292 LOC008756 LOC008923 LOC008951 LOC008952 LOC008967 LOC008968 LOC009021 LOC009107 LOC009196 LOC009543 LOC009949 LOC009978 LOC010237 LOC010691 LOC010879 LOC011057 LOC011152 LOC015919 LOC015927 LOC015939 LOC015947 LOC015955 LOC015957 LOC015961 LOC015990 LOC015993 LOC016004 LOC016009 LOC016010 LOC016017 LOC016019 LOC016021 LOC016030 LOC016031 LOC016032 LOC016033 LOC016036 LOC016039 LOC016040 LOC016045 LOC016047 LOC024188 LOC024211 LOC024304 LOC024307 LOC024308 LOC024312 LOC024314 LOC024319 LOC024321 LOC024322 LOC024323 LOC024324 LOC024327 LOC024328 LOC024329 LOC024333 LOC024336 LOC024338 LOC024340 LOC024342 LOC024350 LOC024352 LOC024355 LOC024356 LOC024357 LOC024359 LOC024360 LOC024362 LOC024363 LOC024364 LOC024366 LOC024367 LOC024369 LOC024377 LOC024378 LOC024379 LOC024380 LOC024384 LOC024392 LOC024398 LOC024399 LOC024400 LOC024401 LOC024402 LOC024409 LOC024412 LOC024414 LOC024417 LOC024418 LOC024419 LOC024420 LOC024424 LOC024425 LOC024428 LOC024432 LOC024512 LOC024532 LOC024551
R19,Federico Lacroze,Z43,Colegiales,67.02,115,303.28,229.08,22.1,29.3,236.27,162.06,no,no,LOC000168 LOC000241 LOC000459 LOC000606 LOC000772 LOC001162 LOC001350 LOC001406 LOC001470 LOC001540 LOC001700 LOC001777 LOC002546 LOC002878 LOC002896 LOC003136 LOC003138 LOC003319 LOC003440 LOC003445 LOC003512 LOC004504 LOC004584 LOC004750 LOC005064 LOC005111 LOC005335 LOC005420 LOC005637 LOC005825 LOC005895 LOC006333 LOC006459 LOC006600 LOC006838 LOC007431 LOC007923 LOC008004 LOC008030 LOC008331 LOC009000 LOC009391 LOC009404 LOC009587 LOC009746 LOC009753 LOC009791 LOC009868 LOC009980 LOC010147 LOC010148 LOC010632 LOC010938 LOC010943 LOC015352 LOC015353 LOC015354 LOC015355 LOC015356 LOC015398 LOC015400 LOC015401 LOC015402 LOC015403 LOC015405 LOC015406 LOC015432 LOC015433 LOC015434 LOC015435 LOC015436 LOC015437 LOC015438 LOC017534 LOC017535 LOC017536 LOC017537 LOC017538 LOC017540 LOC017542 LOC017543 LOC017545 LOC017546 LOC017548 LOC017551 LOC017552 LOC017553 LOC017555 LOC017556 LOC017557 LOC017560 LOC017567 LOC017568 LOC017569 LOC017570 LOC017571 LOC017574 LOC017575 LOC017587 LOC017592 LOC017595 LOC017598 LOC017601 LOC017603 LOC017604 LOC017605 LOC017607 LOC017609 LOC017610 LOC017614 LOC017633 LOC017654 LOC017715 LOC017732 LOC017735
R13,Abasto,Z37,Almagro,25.33,101,109.0,60.9,23.2,41.6,83.67,35.56,no,no,LOC000787 LOC000854 LOC001109 LOC001156 LOC001784 LOC001831 LOC001956 LOC002118 LOC002482 LOC002618 LOC002706 LOC002725 LOC003036 LOC003141 LOC003498 LOC003626 LOC004279 LOC004424 LOC004516 LOC004937 LOC004944 LOC004997 LOC005265 LOC005536 LOC005680 LOC007301 LOC007902 LOC007968 LOC007976 LOC008141 LOC009306 LOC009376 LOC009944 LOC009946 LOC010420 LOC010705 LOC014458 LOC014459 LOC014460 LOC014463 LOC014466 LOC014467 LOC014470 LOC014471 LOC014472 LOC014473 LOC014475 LOC014476 LOC014477 LOC014478 LOC014479 LOC014485 LOC014486 LOC014487 LOC014488 LOC014490 LOC025645 LOC025648 LOC025650 LOC025662 LOC025667 LOC025682 LOC025683 LOC025687 LOC025688 LOC025689 LOC025693 LOC025708 LOC025710 LOC025711 LOC025715 LOC025721 LOC025722 LOC025723 LOC025724 LOC025725 LOC025726 LOC025727 LOC025728 LOC025729 LOC025730 LOC025731 LOC025732 LOC025760 LOC025761 LOC025770 LOC025792 LOC025799 LOC025801 LOC025802 LOC025803 LOC025812 LOC025814 LOC025837 LOC025840 LOC025841 LOC025842 LOC025850 LOC025851 LOC025852 LOC025862
R01,Palermo,R19,Federico Lacroze,22.86,98,385.51,303.28,5.9,7.5,362.65,280.42,no,no,LOC000168 LOC000214 LOC000373 LOC000501 LOC000504 LOC000763 LOC001391 LOC001423 LOC001490 LOC001737 LOC001828 LOC001871 LOC002121 LOC003140 LOC003391 LOC003664 LOC003802 LOC003912 LOC004026 LOC004368 LOC004638 LOC004661 LOC004893 LOC004931 LOC005065 LOC005111 LOC005326 LOC005389 LOC005453 LOC005821 LOC006698 LOC007333 LOC007623 LOC007916 LOC008294 LOC008423 LOC008938 LOC009046 LOC009081 LOC009127 LOC009464 LOC009843 LOC010229 LOC010311 LOC010313 LOC010413 LOC010797 LOC010861 LOC011090 LOC015078 LOC015079 LOC015080 LOC015081 LOC015082 LOC015083 LOC015097 LOC015098 LOC015099 LOC015475 LOC015478 LOC015488 LOC015503 LOC015505 LOC015506 LOC016810 LOC017404 LOC017405 LOC017421 LOC019477 LOC019478 LOC019479 LOC019480 LOC019607 LOC019608 LOC019610 LOC019611 LOC019612 LOC019613 LOC019614 LOC019615 LOC019617 LOC019781 LOC019782 LOC019783 LOC019785 LOC019786 LOC019787 LOC019871 LOC019872 LOC019873 LOC020108 LOC020109 LOC020114 LOC020115 LOC020117 LOC020118 LOC020422 LOC020424
R08,Villa Crespo,R21,La Paternal,49.68,91,335.46,385.34,14.8,12.9,285.78,335.66,no,no,LOC000173 LOC000343 LOC000710 LOC001134 LOC001245 LOC002111 LOC002720 LOC002905 LOC003223 LOC003797 LOC004296 LOC005513 LOC006088 LOC006312 LOC007077 LOC007139 LOC007710 LOC007956 LOC008871 LOC008918 LOC009199 LOC009422 LOC009483 LOC009918 LOC010281 LOC010530 LOC010957 LOC011008 LOC014563 LOC014564 LOC014566 LOC014567 LOC014570 LOC014581 LOC014587 LOC014593 LOC014594 LOC014614 LOC014615 LOC014616 LOC014617 LOC014618 LOC014619 LOC014620 LOC014621 LOC014622 LOC014623 LOC014624 LOC014625 LOC014626 LOC014627 LOC014628 LOC014635 LOC018032 LOC018034 LOC018035 LOC018036 LOC018053 LOC018425 LOC018429 LOC018430 LOC018431 LOC018447 LOC018459 LOC018488 LOC018493 LOC018526 LOC018528 LOC018529 LOC018530 LOC018534 LOC018537 LOC018539 LOC018550 LOC018551 LOC018552 LOC018556 LOC018557 LOC018562 LOC018576 LOC018577 LOC018595 LOC018601 LOC026689 LOC026723 LOC026883 LOC026895 LOC026902 LOC027085 LOC027087 LOC027088
R01,Palermo,R08,Villa Crespo,12.55,77,385.51,335.46,3.3,3.7,372.96,322.91,no,no,LOC000229 LOC000701 LOC001402 LOC001787 LOC002699 LOC002726 LOC003217 LOC003457 LOC003818 LOC004181 LOC004239 LOC004805 LOC005793 LOC006092 LOC007349 LOC007670 LOC008647 LOC008729 LOC009412 LOC009778 LOC009839 LOC010162 LOC010163 LOC010192 LOC010751 LOC010883 LOC010915 LOC014151 LOC014155 LOC014156 LOC014157 LOC014174 LOC014175 LOC014185 LOC014186 LOC014187 LOC014362 LOC014363 LOC014364 LOC014365 LOC014368 LOC014375 LOC014376 LOC014382 LOC014384 LOC014385 LOC014386 LOC017432 LOC017446 LOC018233 LOC018234 LOC018275 LOC018276 LOC018410 LOC019453 LOC019454 LOC019455 LOC019748 LOC019749 LOC019750 LOC019751 LOC020164 LOC020166 LOC020167 LOC020194 LOC020195 LOC020196 LOC020197 LOC020206 LOC020210 LOC020211 LOC020212 LOC020213 LOC020324 LOC020325 LOC020453 LOC020592
R12,Centro y Microcentro,Z47,Monserrat y Congreso,8.68,76,184.12,13.77,4.7,63.0,175.44,5.1,no,no,LOC000439 LOC000523 LOC001011 LOC001281 LOC001609 LOC001952 LOC002235 LOC003931 LOC004184 LOC005149 LOC005366 LOC005763 LOC005978 LOC005994 LOC006206 LOC007115 LOC007283 LOC007291 LOC007410 LOC007592 LOC007782 LOC007927 LOC008051 LOC008081 LOC008224 LOC008619 LOC008715 LOC008962 LOC009013 LOC009501 LOC009845 LOC010107 LOC010396 LOC010407 LOC010444 LOC011097 LOC011098 LOC015733 LOC015736 LOC015742 LOC015758 LOC015760 LOC015761 LOC015777 LOC022057 LOC022059 LOC022060 LOC022061 LOC022062 LOC022063 LOC022156 LOC022157 LOC022158 LOC022159 LOC022160 LOC022161 LOC022162 LOC022163 LOC022164 LOC022165 LOC022166 LOC022167 LOC022168 LOC022169 LOC022170 LOC022171 LOC022172 LOC022173 LOC022174 LOC022194 LOC022195 LOC022197 LOC022198 LOC022199 LOC022200 LOC022201
Z40,Nueva Pompeya y Parque Patricios,Z54,Nueva Pompeya · eje Av. Saenz,39.39,52,69.06,39.39,57.0,100.0,29.67,0.0,no,no,LOC001744 LOC001750 LOC001891 LOC001940 LOC002429 LOC004204 LOC005457 LOC005509 LOC005824 LOC006436 LOC006473 LOC006585 LOC007105 LOC007588 LOC007590 LOC007591 LOC010083 LOC010084 LOC010843 LOC010974 LOC012409 LOC012411 LOC012412 LOC012415 LOC012416 LOC012417 LOC012424 LOC012425 LOC012426 LOC012427 LOC012741 LOC016807 LOC021967 LOC021969 LOC027279 LOC027280 LOC027281 LOC027282 LOC027284 LOC027285 LOC027286 LOC027287 LOC027288 LOC027290 LOC027291 LOC027292 LOC027299 LOC027301 LOC027302 LOC027303 LOC027304 LOC027314
