pagina,eje_citado,eje_en_la_fuente,valor_citado,valor_en_la_fuente,anio,coincide,superlativo_citado,superlativo_correcto
Apertura · síntesis comercial,Conjunto de 48 ejes,Total,variacion_interanual=-1.6 pp,variacion_interanual=-1.561567 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Apertura · síntesis comercial,Norte (9 ejes),Zona Norte del informe,9 de 9 con baja interanual,9 de 9 con baja interanual,2026 (1er cuatrimestre),sí,,
Apertura · síntesis comercial,Sur,Zona Sur del informe,media interanual positiva,media interanual positiva,2026 (1er cuatrimestre),sí,única zona con media positiva,sí: única zona con media positiva
R02 · Avenida Corrientes,Corrientes y Callao,Corrientes y Callao,ocupacion=94 %,ocupacion=94.047619 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R02 · Avenida Corrientes,Corrientes y Callao,Corrientes y Callao,variacion_interanual=1.1 pp,variacion_interanual=1.106443 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R02 · Avenida Corrientes,Corrientes y Pueyrredón,Corrientes y Pueyrredón,ocupacion=97 %,ocupacion=96.989967 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R02 · Avenida Corrientes,Corrientes y Pueyrredón,Corrientes y Pueyrredón,variacion_interanual=0.6 pp,variacion_interanual=0.62033 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R03 · San Telmo,Defensa,Defensa,ocupacion=84.8 %,ocupacion=84.816754 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R03 · San Telmo,Defensa,Defensa,variacion_interanual=2.7 pp,variacion_interanual=2.711491 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R04 · Puerto Madero,Puerto Madero,Puerto Madero,ocupacion=87.6 %,ocupacion=87.640449 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R04 · Puerto Madero,Puerto Madero,Puerto Madero,variacion_interanual=1.3 pp,variacion_interanual=1.276813 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R04 · Puerto Madero,Puerto Madero,Puerto Madero,densidad=2.23 locales/cuadra,densidad=2.225 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,menor densidad de 48,sí: menor valor
R12 · Centro y Microcentro,Florida,Florida,ocupacion=86.8 %,ocupacion=86.774194 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R12 · Centro y Microcentro,Florida,Florida,variacion_interanual=-3.2 pp,variacion_interanual=-3.225806 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R12 · Centro y Microcentro,Lavalle,Lavalle,ocupacion=80.3 %,ocupacion=80.294118 %,2026 (1er cuatrimestre),sí (redondeo publicado),tercera peor ocupación de 48,sí: 3.º menor valor
R12 · Centro y Microcentro,Lavalle,Lavalle,variacion_interanual=-3.2 pp,variacion_interanual=-3.242468 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z46 · Retiro,Florida,Florida,ocupacion=86.8 %,ocupacion=86.774194 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z46 · Retiro,Florida,Florida,variacion_interanual=-3.2 pp,variacion_interanual=-3.225806 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z47 · Monserrat y Congreso,Monserrat,Monserrat,ocupacion=88.5 %,ocupacion=88.489209 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z47 · Monserrat y Congreso,Monserrat,Monserrat,variacion_interanual=-1.4 pp,variacion_interanual=-1.438849 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z47 · Monserrat y Congreso,Monserrat,Monserrat,densidad=9.93 locales/cuadra,densidad=9.928571 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,,
R06 · Recoleta,Recoleta,Recoleta,ocupacion=89.5 %,ocupacion=89.473684 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R06 · Recoleta,Recoleta,Recoleta,variacion_interanual=-3.2 pp,variacion_interanual=-3.157895 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R06 · Recoleta,Recoleta,Recoleta,densidad=5.94 locales/cuadra,densidad=5.9375 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,segunda menor densidad de 48,sí: 2.º menor valor
R07 · Abasto,Once,Once,ocupacion=92.2 %,ocupacion=92.172211 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R07 · Abasto,Once,Once,variacion_interanual=-1.6 pp,variacion_interanual=-1.577789 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R07 · Abasto,Corrientes y Medrano,Corrientes y Medrano,ocupacion=90.3 %,ocupacion=90.265487 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R07 · Abasto,Corrientes y Medrano,Corrientes y Medrano,variacion_interanual=-2.7 pp,variacion_interanual=-2.654867 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z35 · Balvanera y Once,Once,Once,ocupacion=92.2 %,ocupacion=92.172211 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
