polo_a,nombre_a,polo_b,nombre_b,local_id,barrio,comuna
R01,Palermo,R08,Villa Crespo,LOC014382,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020206,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020592,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC004805,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC010883,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014386,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC003457,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC010915,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC010162,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020213,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC007349,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020212,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020211,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014385,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC010751,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020195,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC010192,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014384,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014362,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC000701,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020166,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014363,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC003217,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020210,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC002699,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020196,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC001402,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020194,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC009839,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC018410,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC014375,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC014376,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC006092,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC005793,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020197,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC018276,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC018275,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC020164,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014187,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC010163,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014174,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC018234,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC020325,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC002726,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC009412,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC018233,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC014186,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC008729,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014364,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014365,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC001787,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC009778,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020167,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014368,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC017432,Chacarita,15.0
R01,Palermo,R08,Villa Crespo,LOC019455,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014157,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014156,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014155,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC019751,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC004239,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC019750,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC017446,Chacarita,15.0
R01,Palermo,R08,Villa Crespo,LOC019749,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014151,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC019454,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC019453,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC019748,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC008647,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020324,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC014175,Villa Crespo,15.0
R01,Palermo,R08,Villa Crespo,LOC014185,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC003818,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC007670,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC020453,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC000229,Palermo,14.0
R01,Palermo,R08,Villa Crespo,LOC004181,Palermo,14.0
R01,Palermo,R09,Chacarita,LOC005787,Chacarita,15.0
R01,Palermo,R09,Chacarita,LOC019312,Palermo,14.0
R01,Palermo,R09,Chacarita,LOC019742,Palermo,14.0
