"polo","nombre","direccion","grupo","antecedente_fecha","resultado","estado","nivel_de_verificacion","fuente_valida","fecha_fuente_valida","consulta_documentada","resultado_de_la_busqueda","superficies_no_suficientes","fecha_revision","observaciones"
"Flores · Avellaneda y Pasaje Ruperto Godoy","American Kosher","Av. Avellaneda 2701","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","""American Kosher"" ""Avellaneda 2701""; ""American Kosher"" Flores Buenos Aires 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Directorios, mapas y fichas sin fecha editorial; no prueban actividad.","2026-08-10","Se conserva el antecedente oficial de 2015. La ausencia de una pieza posterior no se interpreta como cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Kosher City","Av. Avellaneda 2395","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","""Kosher City"" ""Avellaneda 2395""; ""Kosher City"" Flores Buenos Aires 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Directorios, mapas y fichas sin fecha editorial; no prueban actividad.","2026-08-10","Se conserva el antecedente oficial de 2015. La ausencia de una pieza posterior no se interpreta como cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Amltí","Bolivia 449","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","(""Amltí"" OR ""Amit"") ""Bolivia 449"" kosher; ""Bolivia 449"" kosher 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Listados comunitarios sin fecha editorial y directorios; no prueban actividad.","2026-08-10","Se buscó también la variante Amit. Se conserva el antecedente oficial de 2015; no se infiere cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Azulay","Aranguren 2941","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","""Azulay"" ""Aranguren 2941"" kosher; ""Azulay"" Flores Buenos Aires 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Un directorio muestra fecha de actualización, no fecha del dato ni prueba de actividad.","2026-08-10","Se conserva el antecedente oficial de 2015. La ausencia de una pieza posterior no se interpreta como cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Hamra","Aranguren 3192","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","""Hamra"" ""Aranguren 3192"" kosher; ""Hamra"" Flores Buenos Aires 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Agregadores gastronómicos y directorios; sus estados o fechas de actualización no verifican actividad.","2026-08-10","Se conserva el antecedente oficial de 2015. La ausencia de una pieza posterior no se interpreta como cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Behar Almacén","Campana 349","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","""Behar Almacén"" ""Campana 349""; ""Behar"" ""Campana 349"" kosher 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Directorio comercial sin fecha editorial; no prueba actividad.","2026-08-10","Se conserva el antecedente oficial de 2015. La ausencia de una pieza posterior no se interpreta como cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Soultani","Cuenca 515","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","""Soultani"" ""Cuenca 515"" kosher; ""Soultani"" Flores Buenos Aires 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Listado comunitario con calendario dinámico pero sin fecha editorial de la ficha; no prueba actividad.","2026-08-10","Se conserva el antecedente oficial de 2015. La ausencia de una pieza posterior no se interpreta como cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Productos Cohen","Cuenca 180","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","""Productos Cohen"" ""Cuenca 180"" kosher; ""Cuenca 180"" kosher Buenos Aires 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Resultados sin identidad coincidente o sin fecha editorial; no prueban actividad.","2026-08-10","Se conserva el antecedente oficial de 2015. La ausencia de una pieza posterior no se interpreta como cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Nacca","Argerich 843","registro_kosher_2015","2015","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf","2015","""Nacca"" ""Argerich 843"" kosher; ""Nacca"" Flores Buenos Aires 2024 2025 2026","No se localizó una pieza editorial pública, fechada y posterior a 2015 que individualice nombre y domicilio.","Ficha de directorio fechada en 2015 y resultados sin fecha editorial posterior; no prueban actividad.","2026-08-10","Se conserva el antecedente oficial de 2015. La ausencia de una pieza posterior no se interpreta como cierre."
"Villa Luro","Estación de Milanesas","Acassuso 5202","locales_con_antecedente_2022_2023","2023-03-26","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/","2023-03-26","""Estación de Milanesas"" ""Acassuso 5202""; ""Estación de Milanesas"" Villa Luro 2024 2025 2026","No se localizó una pieza editorial pública posterior al antecedente de 2023 que individualice el domicilio.","Catálogos de entrega y agregadores, incluido uno con marca de cierre y otro domicilio; no verifican actividad ni cierre.","2026-08-10","Se mantiene el antecedente de 2023. La contradicción entre agregadores queda registrada sin adjudicar."
"Villa Luro","García Restaurante","García de Cossio 5727","locales_con_antecedente_2022_2023","2023-03-26","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/","2023-03-26","""García Restaurante"" ""García de Cossio 5727""; ""García Restaurante"" Villa Luro 2024 2025 2026","No se localizó una pieza editorial pública posterior al antecedente de 2023 que individualice el domicilio.","Agregador gastronómico actualizado en 2023 y directorios; no aportan una prueba posterior.","2026-08-10","Se mantiene el antecedente de 2023. No se infiere cierre."
"Villa Luro","Mich Bar","Basualdo 103","locales_con_antecedente_2022_2023","2023-03-26","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/","2023-03-26","""Mich Bar"" ""Basualdo 103""; ""Mich Bar"" Villa Luro 2024 2025 2026","No se localizó una pieza editorial pública posterior al antecedente de 2023 que individualice el domicilio.","Catálogo de entrega y directorios sin fecha editorial; no prueban actividad.","2026-08-10","Se mantiene el antecedente de 2023. No se infiere cierre."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Makarios","Felipe Vallese 3130","locales_con_antecedente_2022_2023","2023-06-19","evidencia_publica_fechada_localizada","abierto_a_fecha_fuente","v2","https://www.c5n.com/lifestyle/la-parrilla-buenos-aires-comer-asados-economicos-y-muy-ricos-n146679","2024-02-17","""Makarios"" ""Felipe Vallese 3130""; ""Makarios"" Flores parrilla 2024 2025 2026","Se localizó una pieza periodística fechada que identifica el establecimiento, el domicilio y su oferta.","No aplica al hallazgo positivo; la pieza no acredita atención al corte de 2026-08-10.","2026-08-10","La vigencia documental avanza de 2023-06-19 a 2024-02-17. No equivale a verificación presencial ni a abierto hoy."
"Flores · Avellaneda y Pasaje Ruperto Godoy","Pulpería Norte","Felipe Vallese 3123","locales_con_antecedente_2022_2023","2023-06-19","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://www.lanacion.com.ar/sabado/pasaje-ruperto-godoy-el-patio-de-comidas-coreano-del-shopping-a-cielo-abierto-que-se-creo-alrededor-nid15062023/","2023-06-19","""Pulpería Norte"" ""Felipe Vallese 3123""; ""Pulpería Norte"" Flores 2024 2025 2026","No se localizó una pieza editorial pública posterior al antecedente de 2023 que individualice el domicilio.","Agregador con fecha de actualización 2026 y marca de cierre, más catálogos de entrega; no prueban actividad ni cierre.","2026-08-10","Se mantiene el antecedente de 2023. La marca de agregador se registra como indicio no adjudicado."
"Donado–Holmberg","Cimino R","Donado 1919","locales_con_antecedente_2022_2023","2022-02-19","sin_evidencia_publica_fechada_posterior","vigencia_no_verificada","v2","https://www.lanacion.com.ar/la-nacion-revista/sabores-unicos-quienes-son-y-como-trabajan-los-nuevos-alquimistas-del-helado-nid19022022/","2022-02-19","""Cimino R"" ""Donado 1919""; ""Cimino"" ""Donado 1919"" 2023 2024 2025 2026","No se localizó una pieza editorial pública posterior a 2022 que acredite actividad de esa sede.","Permiso municipal otorgado en 2022 por cinco años y directorios actuales: el permiso habilita uso, pero no acredita operación.","2026-08-10","Se mantiene el antecedente de 2022. La continuidad de la marca no se atribuye automáticamente a la sede de Donado."
