orden,polo_id,polo_nombre,ha,locales,es_el_fundido
1,R09+R19+Z43,Chacagiales,495.82,891,si
2,R15,Devoto,478.74,422,no
3,R17,Villa Urquiza,446.62,528,no
4,Z41,Nunez,442.64,494,no
5,Z46,Retiro,414.98,414,no
6,R01,Palermo,385.51,1916,no
7,R21,La Paternal,377.29,293,no
8,R04,Puerto Madero,314.54,354,no
9,R08,Villa Crespo,293.83,746,no
10,R10,Caballito,225.36,508,no
11,Z27,Villa Santa Rita,215.46,182,no
12,R14,Avenida Boedo,179.46,245,no
13,R12,Centro y Microcentro,153.72,875,no
14,R06,Recoleta,140.52,714,no
15,R16,Donado-Holmberg,119.0,121,no
16,R13,Abasto,107.14,365,no
17,Z39,Parque Avellaneda,75.26,11,no
18,Z40,Nueva Pompeya y Parque Patricios,69.06,112,no
19,R20,Garcia del Rio,61.0,102,no
20,Z50,Barracas · Av. Montes de Oca,50.62,84,no
21,R11,Boulevard Caseros,50.03,60,no
22,R02,Avenida Corrientes,49.67,354,no
23,Z33,Mataderos,43.99,17,no
24,R05,Belgrano,39.65,343,no
25,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,39.51,107,no
26,Z54,Nueva Pompeya · eje Av. Saenz,39.39,52,no
27,R07,Costanera Norte,38.5,67,no
28,Z37,Almagro,37.42,114,no
29,Z39b,Baek-ku · Barrio Coreano,34.86,38,no
30,Z44,Villa Ortuzar,34.39,69,no
31,Z28,Monte Castro,28.73,69,no
32,R03,San Telmo,25.37,71,no
33,Z35,Balvanera · Once,19.18,74,no
34,Z52,La Boca · Almirante Brown y Necochea,16.17,21,no
35,Z47,Monserrat y Congreso,13.77,133,no
36,Z31,Villa Luro,13.7,41,no
37,Z32,Liniers · Mercado Andino,7.0,63,no
38,Z51,"Barracas · Iriarte, California y Vieytes",5.83,12,no
39,Z53,La Boca · Caminito y Vuelta de Rocha,4.15,37,no
