polo,pagina,escribe,callejero,es_calle,largo_m
Z46,Retiro,Florida,FLORIDA,si,1527.6
Z46,Retiro,Juncal,JUNCAL,si,4309.3
Z46,Retiro,Esmeralda,ESMERALDA,si,1857.2
Z46,Retiro,Maipú,MAIPU,si,1375.6
Z46,Retiro,Paraguay,PARAGUAY,si,6855.0
Z46,Retiro,M. T. de Alvear,ALVEAR MARCELO T DE,si,2840.8
Z46,Retiro,Av. Córdoba,CORDOBA AV,si,8162.0
Z46,Retiro,Arroyo,ARROYO,si,631.7
Z46,Retiro,Plaza San Martín,,no,
Z46,Retiro,Plaza Carlos Pellegrini,,no,
Z41,Núñez,Crisólogo Larralde,LARRALDE CRISOLOGO AV,si,5587.4
Z41,Núñez,Av. del Libertador,DEL LIBERTADOR AV,si,14482.8
Z41,Núñez,Av. Cabildo,CABILDO AV,si,6302.5
Z41,Núñez,Campos Salles,CAMPOS SALLES,si,1821.7
Z41,Núñez,O'Higgins,O HIGGINS,si,3889.6
Z41,Núñez,Grecia,GRECIA,si,1701.7
Z41,Núñez,Av. Congreso,CONGRESO AV,si,6125.2
Z41,Núñez,viaducto Mitre,,no,
Z27,Villa Santa Rita,Av. Álvarez Jonte,ALVAREZ JONTE AV,si,6630.5
Z43,Colegiales,Concepción Arenal,ARENAL CONCEPCION,si,3253.1
Z43,Colegiales,Zapiola,ZAPIOLA,si,5696.8
Z43,Colegiales,Polo Concepción,,no,
Z43,Colegiales,Mercado de Pulgas,,no,
