capa,polo,polo_nombre,contorno_m,pct_sobre_calle,tramos
el borde publicado hoy,R01,Palermo,15809,93.3,140
el borde publicado hoy,R02,Avenida Corrientes,3245,40.3,30
el borde publicado hoy,R03,San Telmo,2621,66.3,33
el borde publicado hoy,R04,Puerto Madero,19599,80.0,96
el borde publicado hoy,R05,Belgrano,6360,100.0,77
el borde publicado hoy,R06,Recoleta,7436,83.1,73
el borde publicado hoy,R07,Costanera Norte,6485,77.3,25
el borde publicado hoy,R08,Villa Crespo,13490,94.0,131
el borde publicado hoy,R09,Chacarita,12185,97.8,129
el borde publicado hoy,R10,Caballito,9407,82.1,92
el borde publicado hoy,R12,Centro y Microcentro,12274,55.2,113
el borde publicado hoy,R13,Abasto,4234,65.4,36
el borde publicado hoy,R14,Avenida Boedo,6556,71.1,61
el borde publicado hoy,R15,Devoto,14258,97.5,158
el borde publicado hoy,R17,Villa Urquiza,11761,95.7,138
el borde publicado hoy,R19,Federico Lacroze,16465,92.3,165
el borde publicado hoy,R21,La Paternal,12441,87.4,121
el borde publicado hoy,Z27,Villa Santa Rita,5759,100.0,5
el borde publicado hoy,Z33,Mataderos,3313,100.0,9
el borde publicado hoy,Z39,Parque Avellaneda,4200,100.0,13
el borde publicado hoy,Z40,Nueva Pompeya y Parque Patricios,10143,100.0,52
el borde publicado hoy,Z43,Colegiales,6376,100.0,10
el borde publicado hoy,Z53,La Boca · Caminito y Vuelta de Rocha,934,100.0,5
el borde después de las decisiones,R08,Villa Crespo,14562,93.5,133
el borde después de las decisiones,R12,Centro y Microcentro,13605,58.9,112
el borde después de las decisiones,R13,Abasto,4271,71.3,34
el borde después de las decisiones,R21,La Paternal,12493,87.4,113
el borde después de las decisiones,R09+R19+Z43,Chacagiales,20523,94.2,175
