polo,polo_nombre,geometria,cuenta_vieja,cuenta_nueva,entran,salen,detalle
R01,Palermo,borde publicado hoy,24,24,,,
R02,Avenida Corrientes,borde publicado hoy,10,10,,,
R03,San Telmo,borde publicado hoy,1,1,,,
R04,Puerto Madero,borde publicado hoy,7,7,,,
R05,Belgrano,borde publicado hoy,1,1,,,
R06,Recoleta,borde publicado hoy,10,10,,,
R07,Costanera Norte,borde publicado hoy,2,2,,,
R08,Villa Crespo,borde publicado hoy,8,8,,,
R09,Chacarita,borde publicado hoy,3,3,,,
R10,Caballito,borde publicado hoy,2,2,,,
R11,Boulevard Caseros,borde publicado hoy,1,1,,,
R12,Centro y Microcentro,borde publicado hoy,21,22,H094,,+H094 Bar Iberia
R13,Abasto,borde publicado hoy,3,3,,,
R14,Avenida Boedo,borde publicado hoy,3,3,,,
R15,Devoto,borde publicado hoy,3,3,,,
R16,Donado-Holmberg,borde publicado hoy,0,0,,,
R17,Villa Urquiza,borde publicado hoy,1,1,,,
R19,Federico Lacroze,borde publicado hoy,7,7,,,
R20,Garcia del Rio,borde publicado hoy,0,0,,,
R21,La Paternal,borde publicado hoy,3,3,,,
Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,borde publicado hoy,0,0,,,
Z27,Villa Santa Rita,borde publicado hoy,2,2,,,
Z28,Monte Castro,borde publicado hoy,1,1,,,
Z31,Villa Luro,borde publicado hoy,0,0,,,
Z32,Liniers · Mercado Andino,borde publicado hoy,0,0,,,
Z33,Mataderos,borde publicado hoy,3,3,,,
Z35,Balvanera · Once,borde publicado hoy,0,0,,,
Z37,Almagro,borde publicado hoy,5,5,,,
Z39,Parque Avellaneda,borde publicado hoy,0,0,,,
Z39b,Baek-ku · Barrio Coreano,borde publicado hoy,0,0,,,
Z40,Nueva Pompeya y Parque Patricios,borde publicado hoy,0,0,,,
Z41,Nunez,borde publicado hoy,6,6,,,
Z43,Colegiales,borde publicado hoy,3,3,,,
Z44,Villa Ortuzar,borde publicado hoy,1,1,,,
Z46,Retiro,borde publicado hoy,11,11,,,
Z47,Monserrat y Congreso,borde publicado hoy,5,6,H094,,+H094 Bar Iberia
Z50,Barracas · Av. Montes de Oca,borde publicado hoy,2,2,,,
Z51,"Barracas · Iriarte, California y Vieytes",borde publicado hoy,1,1,,,
Z52,La Boca · Almirante Brown y Necochea,borde publicado hoy,4,3,,H032,−H032 Café Roma
Z53,La Boca · Caminito y Vuelta de Rocha,borde publicado hoy,1,1,,,
Z54,Nueva Pompeya · eje Av. Saenz,borde publicado hoy,0,0,,,
R12,Centro y Microcentro,después de repartos y fusión,22,14,,DIR-003 H035 H067 H074 H081 H094 ICO-002 ICO-016,−DIR-003; −H035; −H067; −H074; −H081; −H094; −ICO-002; −ICO-016
Z46,Retiro,después de repartos y fusión,11,7,,H043 H058 H082 ICO-015,−H043; −H058; −H082; −ICO-015
Z37,Almagro,después de repartos y fusión,5,2,,DIR-006 H044 H054,−DIR-006; −H044; −H054
