legacy_id,polo_uid,valida_epsg4326,valida_epsg5347_entorno_local,motivo_invalidez_local,tipo_original_5347,tipo_reparada_5347,delta_area_m2_reparacion_local,impacto_relaciones
R01,POLO-R01,True,True,,MultiPolygon,MultiPolygon,0.0,0
R02,POLO-R02,True,True,,Polygon,Polygon,0.0,0
R03,POLO-R03,True,True,,MultiPolygon,MultiPolygon,0.0,0
R04,POLO-R04,True,True,,MultiPolygon,MultiPolygon,0.0,0
R05,POLO-R05,True,True,,MultiPolygon,MultiPolygon,0.0,0
R06,POLO-R06,True,True,,Polygon,Polygon,0.0,0
R07,POLO-R07,True,True,,MultiPolygon,MultiPolygon,0.0,0
R08,POLO-R08,True,False,Self-intersection[5642343.56898884 6170431.51900859],MultiPolygon,MultiPolygon,4.470348358154297e-08,0
R09+R19+Z43,SYS-CHACAGIALES,True,True,,MultiPolygon,MultiPolygon,0.0,0
R10,POLO-R10,True,True,,MultiPolygon,MultiPolygon,0.0,0
R11,POLO-R11,True,True,,MultiPolygon,MultiPolygon,0.0,0
R12,POLO-R12,True,True,,MultiPolygon,MultiPolygon,0.0,0
R13,POLO-R13,True,True,,Polygon,Polygon,0.0,0
R14,POLO-R14,True,True,,Polygon,Polygon,0.0,0
R15,POLO-R15,True,True,,Polygon,Polygon,0.0,0
R16,POLO-R16,True,True,,MultiPolygon,MultiPolygon,0.0,0
R17,POLO-R17,True,True,,MultiPolygon,MultiPolygon,0.0,0
R20,POLO-R20,True,True,,Polygon,Polygon,0.0,0
R21,POLO-R21,True,False,Self-intersection[5642086.31485602 6170743.07330356],MultiPolygon,GeometryCollection,2.468004822731018e-08,0
Z24,POLO-Z24,True,True,,MultiPolygon,MultiPolygon,0.0,0
Z27,POLO-Z27,True,True,,Polygon,Polygon,0.0,0
Z28,POLO-Z28,True,True,,Polygon,Polygon,0.0,0
Z31,POLO-Z31,True,True,,Polygon,Polygon,0.0,0
Z32,POLO-Z32,True,True,,Polygon,Polygon,0.0,0
Z33,POLO-Z33,True,True,,Polygon,Polygon,0.0,0
Z35,POLO-Z35,True,True,,Polygon,Polygon,0.0,0
Z37,POLO-Z37,True,True,,MultiPolygon,MultiPolygon,0.0,0
Z39,POLO-Z39,True,True,,Polygon,Polygon,0.0,0
Z39b,POLO-Z39B,True,True,,Polygon,Polygon,0.0,0
Z40,POLO-Z40,True,True,,MultiPolygon,MultiPolygon,0.0,0
Z41,POLO-Z41,True,True,,Polygon,Polygon,0.0,0
Z44,POLO-Z44,True,True,,MultiPolygon,MultiPolygon,0.0,0
Z46,POLO-Z46,True,True,,Polygon,Polygon,0.0,0
Z47,POLO-Z47,True,True,,Polygon,Polygon,0.0,0
Z50,POLO-Z50,True,True,,Polygon,Polygon,0.0,0
Z51,POLO-Z51,True,True,,Polygon,Polygon,0.0,0
Z52,POLO-Z52,True,True,,Polygon,Polygon,0.0,0
Z53,POLO-Z53,True,True,,Polygon,Polygon,0.0,0
Z54,PIEZA-Z54,True,True,,MultiPolygon,MultiPolygon,0.0,0
