verificacion,objeto,metros_totales,m_en_Colegiales,m_en_Belgrano,m_en_Palermo,m_en_Chacarita,resultado,pct_en_R01
a · R13 · barrio de la calle,ZABALA,2943.0,1288.0,918.0,0.0,737.0,mayoría en Colegiales,
a · R13 · barrio de la calle,DELGADO,1555.0,1555.0,0.0,0.0,0.0,mayoría en Colegiales,
a · R13 · barrio de la calle,"AVILES, VIRREY",1462.0,1118.0,0.0,0.0,0.0,mayoría en Colegiales,
a · R13 · barrio de la calle,CONDE,5349.0,1906.0,1165.0,0.0,0.0,mayoría en Colegiales,
b · R12 · longitud del tramo,ZABALA entre ALVAREZ THOMAS AV. y FOREST AV.,254.0,,,,,"254 m ≈ 3 cuadras  [cruza a los 2,203 m del eje / cruza a los 2,457 m del eje]",
b · R12 · longitud del tramo,ZABALA entre ALVAREZ THOMAS AV. y ELCANO AV.,0.0,,,,,"SIN TRAMO — «ELCANO AV.» NO llega al eje — queda a 122 m, más que la tolerancia de 40 m",
b · R12 · longitud del tramo,DELGADO entre ALVAREZ THOMAS AV. y FOREST AV.,0.0,,,,,"SIN TRAMO — «ALVAREZ THOMAS AV.» NO llega al eje — queda a 55 m, más que la tolerancia de 40 m",
b · R12 · longitud del tramo,DELGADO entre ALVAREZ THOMAS AV. y ELCANO AV.,0.0,,,,,"SIN TRAMO — «ALVAREZ THOMAS AV.» NO llega al eje — queda a 55 m, más que la tolerancia de 40 m",
b · R12 · longitud del tramo,"AVILES, VIRREY entre ALVAREZ THOMAS AV. y FOREST AV.",344.0,,,,,"344 m ≈ 3 cuadras  [empalma en T a los 1,462 m del eje (a 16 m, dentro de tolerancia) / cruza a los 1,118 m del eje]",
b · R12 · longitud del tramo,"AVILES, VIRREY entre ALVAREZ THOMAS AV. y ELCANO AV.",608.0,,,,,"608 m ≈ 6 cuadras  [empalma en T a los 1,462 m del eje (a 16 m, dentro de tolerancia) / cruza a los 854 m del eje]",
b · R12 · longitud del tramo,CONDE entre ALVAREZ THOMAS AV. y FOREST AV.,0.0,,,,,"SIN TRAMO — «ALVAREZ THOMAS AV.» NO llega al eje — queda a 178 m, más que la tolerancia de 40 m",
b · R12 · longitud del tramo,CONDE entre ALVAREZ THOMAS AV. y ELCANO AV.,0.0,,,,,"SIN TRAMO — «ALVAREZ THOMAS AV.» NO llega al eje — queda a 178 m, más que la tolerancia de 40 m",
b · distancia cruda a cada avenida,ZABALA,,,,,,ALVAREZ THOMAS AV.: 0 m; FOREST AV.: 0 m; ELCANO AV.: 122 m,
b · distancia cruda a cada avenida,DELGADO,,,,,,ALVAREZ THOMAS AV.: 55 m; FOREST AV.: 0 m; ELCANO AV.: 0 m,
b · distancia cruda a cada avenida,"AVILES, VIRREY",,,,,,ALVAREZ THOMAS AV.: 16 m; FOREST AV.: 0 m; ELCANO AV.: 0 m,
b · distancia cruda a cada avenida,CONDE,,,,,,ALVAREZ THOMAS AV.: 178 m; FOREST AV.: 348 m; ELCANO AV.: 0 m,
b · ancho de la franja,Av. Álvarez Thomas ↔ Av. Forest,0.0,,,,,"convergen: la franja es una cuña, no una banda pareja",
c · R01,Concepción Arenal Zapiola–Conesa,143.0,,,,,cae parcialmente en R01 (47 %),47.0
control · Fraga,FRAGA en Colegiales/Chacarita,1492.0,,,,,15 cuadras · 16 locales,
