polo_id,nombre_polo,soporte_clase,soporte_detalle,n_puntos,elongacion,ancho_p80_m,largo_p5_p95_m,motivo_na,frac_banda_50m,frac_banda_75m,frac_banda_100m,frac_banda_150m,frac_banda_200m,elongacion_rect,ha,forma_declarada,rama_calibracion,calibracion_contaminada
PG001A_PALERMO_SOHO,Palermo Soho,polo del borrador,DONDE_ESTA_SOHO.txt: Soho es P091,772,1.2754253330161687,293.77398793641896,971.9318787530674,,0.15155440414507773,0.22797927461139897,0.32642487046632124,0.4883419689119171,0.6049222797927462,1.008293566864152,92.36,nucleo compacto,B,si
PG001B_PALERMO_HOLLYWOOD,Palermo Hollywood,polo del borrador,DONDE_ESTA_SOHO.txt: Hollywood es P078,595,1.4606243695266037,311.51681393576246,1114.2150135856728,,0.14789915966386555,0.21680672268907564,0.2672268907563025,0.40672268907563025,0.5495798319327732,1.6446595194762554,102.61,nucleo compacto,B,si
PG001C_LAS_CANITAS,Las Canitas,polo del borrador,DONDE_ESTA_SOHO.txt: Cañitas está dentro de P065 (Báez 17/17),361,2.8911612248405603,191.90521049503533,1418.4376560930282,,0.20498614958448755,0.31301939058171746,0.4099722991689751,0.6537396121883656,0.8060941828254847,2.3980275438964065,82.04,corredor,B,si
PG002_VILLA_CRESPO,Villa Crespo,envolvente publicada,envolvente editorial R08 del Atlas,823,1.82584851573351,523.1351735619056,2307.0502213417485,,0.0911300121506683,0.1433778857837181,0.18469015795868773,0.2551640340218712,0.36330498177399756,1.6610209140367438,335.46,nucleo compacto,B,si
PG003_PUERTO_MADERO,Puerto Madero,envolvente publicada,envolvente editorial R04 del Atlas,354,3.4084230547389454,323.5704626892152,2699.974438842502,,0.022598870056497175,0.07062146892655367,0.15819209039548024,0.4491525423728814,0.5310734463276836,3.6874432117226794,314.54,corredor,B,si
PG004_SAN_TELMO,San Telmo,envolvente publicada,envolvente editorial R03 del Atlas,71,1.1640762870442707,167.0081136206142,577.4544011854675,,0.14084507042253522,0.352112676056338,0.5633802816901409,0.7464788732394366,0.8591549295774648,1.3141368789721413,25.37,nucleo compacto,B,si
PG005_CHACARITA,Chacarita,envolvente publicada,envolvente editorial R09 del Atlas,202,1.4217619956195953,401.8638320614517,1576.2303207054215,,0.09900990099009901,0.15841584158415842,0.22277227722772278,0.3217821782178218,0.37623762376237624,1.714286821546372,94.81,nucleo compacto,B,si
PG006A_BARRIO_CHINO,Barrio Chino,enclave comunitario,Arribeños entre Juramento y Olazábal; Mendoza entre Montañeses y las vías,185,1.6127958108508191,104.87383554648281,449.15236990515274,,0.32972972972972975,0.5513513513513514,0.7837837837837838,0.9459459459459459,0.9837837837837838,1.0092041237142972,17.63,nucleo compacto,B,si
PG006B_BAJO_BELGRANO,Bajo Belgrano,sin soporte,subzona de Belgrano sin delimitación propia; el control la declaró sin resolución,0,,,,sin soporte geométrico,,,,,,,,,B,si
PG006C_BELGRANO_R,Belgrano R,sin soporte,sub-barrio sin delimitación propia; el control la declaró sin resolución,0,,,,sin soporte geométrico,,,,,,,,,B,si
PG007_RECOLETA,Recoleta,envolvente publicada,envolvente editorial R06 del Atlas,714,1.2372249794887593,436.52357776792934,1358.7815526010725,,0.0350140056022409,0.06722689075630252,0.09943977591036414,0.1722689075630252,0.2605042016806723,1.24975008951666,140.52,nucleo compacto,B,si
PG008_CABALLITO,Caballito,envolvente publicada,envolvente editorial R10 del Atlas,508,1.7647928005531386,463.0547395873115,2133.821672485811,,0.06692913385826772,0.10039370078740158,0.1377952755905512,0.2559055118110236,0.38779527559055116,1.6602347486034283,225.36,nucleo compacto,B,si
PG009_COSTANERA_NORTE,Costanera Norte,envolvente publicada,envolvente editorial R07 del Atlas,67,8.058477356817585,164.959119455577,3163.9770003100957,,0.22388059701492538,0.582089552238806,0.6417910447761194,0.746268656716418,0.8955223880597015,6.9198079390593135,38.5,corredor,B,si
PG010_AVENIDA_CASEROS_BARRACAS,Avenida Caseros / Barracas,envolvente publicada,envolvente editorial R11 del Atlas,60,2.9451832627182135,219.1140977959699,1345.2873798477167,,0.2,0.26666666666666666,0.43333333333333335,0.6166666666666667,0.7333333333333333,2.546021526191265,50.03,corredor,B,si
PG011_MICROCENTRO_CENTRO_RENOVADO,Microcentro y Centro,envolvente publicada,envolvente editorial R12 del Atlas,1084,1.2984937846028415,584.9030213703963,1743.3288994955192,,0.06088560885608856,0.11162361623616236,0.16605166051660517,0.261070110701107,0.34501845018450183,1.2028967317193757,184.12,nucleo compacto,B,si
PG012_AVENIDA_CORRIENTES,Avenida Corrientes,envolvente publicada,envolvente editorial R02 del Atlas,354,4.266020494117753,134.6685720400359,1228.6279392148563,,0.4209039548022599,0.519774011299435,0.6101694915254238,0.8954802259887006,1.0,3.676189735908036,49.67,corredor,B,si
PG013_ABASTO,Abasto,envolvente publicada,envolvente editorial R13 del Atlas,373,2.6083239654829846,239.5937667532901,1401.4452530227463,,0.21715817694369974,0.32439678284182305,0.4262734584450402,0.579088471849866,0.675603217158177,2.434949315154697,109.0,corredor,B,si
PG014_AVENIDA_BOEDO,Avenida Boedo,envolvente publicada,envolvente editorial R14 del Atlas,245,4.075980473537581,280.6225908110367,2232.7846089358786,,0.2571428571428571,0.3510204081632653,0.4489795918367347,0.563265306122449,0.7061224489795919,3.1937735613708953,179.46,corredor,B,si
PG015_DEVOTO,Devoto,envolvente publicada,envolvente editorial R15 del Atlas,422,2.4177570283389036,529.9492162455235,3057.0012160000715,,0.11137440758293839,0.15876777251184834,0.1943127962085308,0.3033175355450237,0.4099526066350711,1.7906246692116161,478.74,corredor,B,si
