polo_id,nombre_polo,ha_del_fragmento,zona,modo,via_B_soporte_fragmento,via_B_abierta_fragmento,hitos_en_el_fragmento,via_B_soporte_zona,hitos_en_la_zona,clase
PG001A_PALERMO_SOHO,Palermo Soho,92.36,R01,heredada,sin_verificar,pendiente,12,sin_verificar,20,el fragmento tiene hitos
PG001B_PALERMO_HOLLYWOOD,Palermo Hollywood,102.61,R01,heredada,sin_verificar,pendiente,7,sin_verificar,20,el fragmento tiene hitos
PG001C_LAS_CANITAS,Las Canitas,82.04,R01,heredada,sin_hitos,no,0,sin_verificar,20,"la zona SÍ tiene, el fragmento no"
PG002_VILLA_CRESPO,Villa Crespo,335.46,R08,propia,sin_verificar,pendiente,8,sin_verificar,8,el fragmento tiene hitos
PG003_PUERTO_MADERO,Puerto Madero,314.54,R04,propia,sin_verificar,pendiente,7,sin_verificar,7,el fragmento tiene hitos
PG004_SAN_TELMO,San Telmo,25.37,R03,propia,activo,si,1,activo,1,el fragmento tiene hitos
PG005_CHACARITA,Chacarita,94.81,R09R19_CHACAGIALES,heredada,sin_verificar,pendiente,3,activo,9,el fragmento tiene hitos
PG006A_BARRIO_CHINO,Barrio Chino,17.63,R05,heredada,sin_hitos,no,0,sin_hitos,0,la zona TAMPOCO tiene hitos
PG006B_BAJO_BELGRANO,Bajo Belgrano,,R05,requiere_cruce,sin_hitos,no,0,sin_hitos,0,la zona TAMPOCO tiene hitos
PG006C_BELGRANO_R,Belgrano R,,Z45,requiere_cruce,sin_hitos,no,0,activo,6,"la zona SÍ tiene, el fragmento no"
PG007_RECOLETA,Recoleta,140.52,R06,propia,sin_verificar,pendiente,10,sin_verificar,10,el fragmento tiene hitos
PG008_CABALLITO,Caballito,225.36,R10,propia,sin_verificar,pendiente,1,sin_verificar,1,el fragmento tiene hitos
PG009_COSTANERA_NORTE,Costanera Norte,38.5,R07,propia,sin_verificar,pendiente,1,sin_verificar,1,el fragmento tiene hitos
