referencia_id,nombre,familia,familia_etiqueta,familia_corta,soporte_ausente,n_locales,ha,locales_x_ha,cont_pct_comp_mayor_20m,cont_pct_comp_mayor_40m,cont_pct_comp_mayor_60m,cont_pct_comp_mayor_80m,cont_pct_comp_mayor_120m,vecino_medio_m,vecino_obs_sobre_poisson,via_A_polos_pert_25,via_A_polos_pert_50,via_A_polos,via_A_abierta,via_A_polos_pert_75,via_A_polos_pert_100,via_B_bar_notable,via_B_restaurante_iconico,via_B_pizzeria_emblematica,via_B_heladeria_historica,via_B_michelin,via_B_50best,via_B_patrimonio_normativo,via_B_total,via_B_cerrados,via_B_dudosos,via_B_abierta,via_B_nombres,via_C_mercado_patio,via_C_cual,via_C_abierta,via_D_enclave,via_D_abierta,via_E_reconocimiento,via_F_elongacion,via_F_frac_banda_100m,via_F_abierta,n_vias_medibles
R05,Belgrano,Polo,Polo,polo,no,343,39.65,8.651,8.5,18.1,48.4,48.4,49.0,14.1,0.828,4,3,P072-4; P072-6; P072-7,si,1,0,0,0,0,0,0,0,0,1,0,0,si,Mercado de Belgrano,si,Mercado de Belgrano,si,Barrio Chino,si,,1.695865124057529,0.4402332361516035,no,4
R07,Costanera Norte,Polo con subzonas / multiparte,Polo con subzonas / multiparte,multiparte,no,67,38.5,1.74,7.5,26.9,49.3,49.3,52.2,34.6,0.913,1,1,P001,si,1,0,0,1,0,0,0,0,0,2,0,0,si,Happening; Patio Costanera Norte,si,Patio Costanera Norte,si,,no,,8.058477356817585,0.6417910447761194,si,4
R01,Palermo,Polo con subzonas / multiparte,Polo con subzonas / multiparte,multiparte,no,1358,271.29,5.006,2.0,29.2,50.9,57.5,80.0,15.7,0.705,4,4,P065; P078; P090+P089; P091,si,1,0,0,0,1,0,10,9,0,21,0,0,si,A Fuego Fuerte; Angelin; CoChinChina; Crizia; Crizia; Don Julio; Don Julio; Don Julio; El Preferido de Palermo; El Preferido de Palermo; Fogón Asado; Gran Dabbang,si,Mercado Bonpland,si,,no,,1.9045391651465755,0.1472754050073637,no,3
R02,Avenida Corrientes,Eje o corredor,Eje o corredor,eje,no,354,49.67,7.127,3.7,24.3,79.7,100.0,100.0,16.1,0.86,3,2,P113; P114,si,1,1,8,1,1,0,0,0,0,10,0,0,si,Bar Lavalle; Celta Bar; El Gato Negro; Guerrin; LA GIRALDA; LOS GALGOS; La Academia; La Opera; Petit Colón; Zum Edelweiss,no,,no,,no,,4.266020494117753,0.6101694915254238,si,3
R04,Puerto Madero,Polo con subzonas / multiparte,Polo con subzonas / multiparte,multiparte,no,354,314.54,1.125,2.0,5.9,12.4,16.4,28.8,29.3,0.623,1,1,P030,si,1,0,0,3,0,0,3,1,0,7,0,0,si,Cabaña Las Lilas; El Mercado (Faena); Estilo Campo; La Cabaña; Marcelo Restaurante; Michel Rolland Grill & Wine; Sorrento,no,,no,,no,,3.4084230547389454,0.1581920903954802,si,3
R10,Caballito,Polo con subzonas / multiparte,Polo con subzonas / multiparte,multiparte,no,508,225.36,2.254,1.2,7.7,15.0,27.0,92.5,23.8,0.716,3,2,P053; P056,si,1,0,1,0,0,0,0,0,0,2,0,0,si,Confiteria El Greco; Mercado del Progreso,si,Mercado del Progreso,si,,no,,1.7647928005531386,0.1377952755905512,no,3
R13,Abasto,Polo,Polo,polo,no,373,109.0,3.422,2.7,9.1,31.4,87.7,99.7,19.5,0.723,2,2,P082; P093,si,2,0,2,0,1,0,0,0,0,3,0,0,si,EL SIMBOLO; El Banderin; Pin Pun,no,,no,,no,,2.6083239654829846,0.4262734584450402,si,3
R14,Avenida Boedo,Eje o corredor,Eje o corredor,eje,no,245,179.46,1.365,2.0,5.7,20.4,27.8,49.0,24.6,0.575,2,2,P029; P062,si,2,0,2,0,1,0,0,0,1,3,0,0,si,Café Margot; Esquina Homero Manzi; San Antonio,no,,no,,no,,4.075980473537581,0.4489795918367347,si,3
R15,Devoto,Polo,Polo,polo,no,422,478.74,0.881,2.8,10.2,12.6,14.2,25.4,27.4,0.514,4,3,P016; P018-1; P018-2,si,2,1,2,0,1,0,0,0,0,3,0,0,si,Café de García; Gran Pizzeria Jose; STYLO CAFE,no,,no,,no,,2.417757028338904,0.1943127962085308,si,3
R19,Federico Lacroze por tramos,Eje o corredor,Eje o corredor,eje,no,185,89.49,2.067,3.8,9.2,14.1,31.9,45.4,21.6,0.621,2,1,P071,si,1,1,1,0,0,0,0,0,0,1,0,0,si,Bar Conde,no,,no,,no,,7.137320483976702,0.6378378378378379,si,3
R06,Recoleta,Polo,Polo,polo,no,714,140.52,5.081,2.2,7.8,23.1,68.3,100.0,16.9,0.762,7,5,P095; P096; P097; P098; P110,si,4,1,2,1,1,0,5,1,0,10,0,0,si,Aramburu; Aramburu; BAR DEL ALVEAR PALACE HOTEL; Bis Bistró; Casa Veltri; Fervor; LA BIELA; Los Maestros; Restaurante Oviedo; Roux,no,,no,,no,,1.237224979488759,0.0994397759103641,no,2
R08,Villa Crespo,Polo,Polo,polo,no,823,335.46,2.453,1.0,4.5,7.9,42.3,93.1,23.0,0.72,5,5,P063; P074; P077; P080; P081,si,4,3,1,0,0,0,5,2,0,8,0,0,si,Alcanfor; Fico; Han; Julia; Julia; SAN BERNARDO; Trescha; Trescha,no,,no,,no,,1.82584851573351,0.1846901579586877,no,2
R09,Chacarita,Referencia dispersa,Referencia dispersa,dispersa,no,202,94.81,2.131,5.4,6.4,15.3,29.2,51.5,22.7,0.663,2,2,P068; P075,si,0,0,1,1,0,0,1,0,0,3,0,0,si,Albamonte Ristorante; Anchoíta; CAFE PALACIO,no,,no,,no,,1.4217619956195953,0.2227722772277227,no,2
R11,Boulevard Caseros,Eje o corredor,Eje o corredor,eje,no,60,50.03,1.199,6.7,11.7,13.3,25.0,25.0,28.6,0.626,1,0,,no,0,0,1,0,0,0,0,0,0,1,0,0,si,Britanico,no,,no,,no,,2.945183262718213,0.4333333333333333,si,2
R12,Centro / Microcentro segmentado,Area segmentada,Area segmentada,segmentada,no,1084,184.12,5.888,1.3,11.4,33.3,34.5,58.9,16.9,0.822,9,6,P100; P112; P114; P116; P117; P118,si,3,1,15,3,3,0,0,0,0,21,0,0,si,36 BILLARES; Bar Bidou; Café Tortoni; Claridge's; Confiteria Saint Moritz; Confitería Ideal; El Imparcial; El Palacio de la Pizza; El Querandi; FLORIDA GARDEN; Guerrin; LA GIRALDA,no,,no,,no,,1.2984937846028417,0.1660516605166051,no,2
R16,Donado-Holmberg,Eje o corredor,Eje o corredor,eje,no,121,119.0,1.017,3.3,9.1,14.0,30.6,37.2,31.9,0.643,1,1,P039,si,1,1,0,0,0,0,0,0,0,0,0,0,no,,no,,no,,no,,3.3799515724260387,0.4628099173553719,si,2
R17,Villa Urquiza,Polo con subzonas / multiparte,Polo con subzonas / multiparte,multiparte,no,528,446.62,1.182,0.9,2.5,10.4,24.6,74.2,27.4,0.596,1,1,P046,si,1,0,1,0,0,0,0,0,0,1,0,0,si,Cafe de la U,no,,no,,no,,1.5595221471280702,0.2064393939393939,no,2
R18,Esmeralda-Paraguay,Referencia dispersa,Referencia dispersa,dispersa,no,318,48.39,6.571,3.8,50.9,97.5,99.1,100.0,15.7,0.804,2,1,P118,si,1,1,3,1,0,0,0,0,0,4,0,0,si,Confiteria Saint Moritz; FLORIDA GARDEN; PLAZA BAR; Tancat,no,,no,,no,,1.143413064344472,0.4119496855345912,no,2
