n_locales,ha,via_A_polos_pert_25,via_A_polos_pert_50,via_A_polos,via_A_abierta,via_A_polos_pert_75,via_A_polos_pert_100,via_C_mercado_patio,via_C_cual,via_C_abierta,via_F_elongacion,via_F_frac_banda_100m,via_F_abierta,referencia_id,nombre,soporte_ausente,via_B_bar_notable,via_B_restaurante_iconico,via_B_pizzeria_emblematica,via_B_heladeria_historica,via_B_michelin,via_B_50best,via_B_total,via_B_patrimonio_normativo,via_B_si,via_B_no,via_B_en_disputa,via_B_dudosa,via_B_sin_verificar,via_B_soporte,via_B_abierta,via_B_nombres,via_B_abiertos_cuales,via_B_cerrados_cuales,via_B_en_disputa_cuales,via_D_estado,via_D_abierta,via_D_enclave,via_D_enclave_sin_computo,n_vias_medibles,n_vias_pendientes,via_D_estado_r4,via_D_abierta_r4,via_D_enclave_r4,via_D_enclave_sin_computo_r4,n_vias_medibles_r4
1358,271.29,4,4,P065; P078; P090+P089; P091,si,1,0,si,Mercado Bonpland,si,1.9045391651465755,0.1472754050073637,no,R01,Palermo,no,0,0,1,0,10,9,21,0,0,0,0,0,21,sin_verificar,pendiente,A Fuego Fuerte; Angelin; CoChinChina; Crizia; Crizia; Don Julio; Don Julio; Don Julio; El Preferido de Palermo; El Preferido de Palermo; Fogón Asado; Gran Dabbang,,,,no_medida,pendiente,,,2,2,no_medida,pendiente,,,2
354,49.67,3,2,P113; P114,si,1,1,no,,no,4.266020494117753,0.6101694915254238,si,R02,Avenida Corrientes,no,8,1,1,0,0,0,10,0,1,0,0,0,9,activo,si,Bar Lavalle; Celta Bar; El Gato Negro; Guerrin; LA GIRALDA; LOS GALGOS; La Academia; La Opera; Petit Colón; Zum Edelweiss,LOS GALGOS,,,no_medida,pendiente,,,3,1,no_medida,pendiente,,,3
71,25.37,0,0,,no,0,0,no,,no,1.164076287044271,0.5633802816901409,no,R03,San Telmo,no,1,0,0,0,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,Bar El Federal,,,,no_medida,pendiente,,,0,2,no_medida,pendiente,,,0
354,314.54,1,1,P030,si,1,0,no,,no,3.4084230547389454,0.1581920903954802,si,R04,Puerto Madero,no,0,3,0,0,3,1,7,0,0,0,0,0,7,sin_verificar,pendiente,Cabaña Las Lilas; El Mercado (Faena); Estilo Campo; La Cabaña; Marcelo Restaurante; Michel Rolland Grill & Wine; Sorrento,,,,no_medida,pendiente,,,2,2,no_medida,pendiente,,,2
343,39.65,4,3,P072-4; P072-6; P072-7,si,1,0,si,Mercado de Belgrano,si,1.695865124057529,0.4402332361516035,no,R05,Belgrano,no,0,0,0,0,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,Mercado de Belgrano,,,,abierta,si,E02,,3,1,abierta,si,E02,,3
714,140.52,7,5,P095; P096; P097; P098; P110,si,4,1,no,,no,1.237224979488759,0.0994397759103641,no,R06,Recoleta,no,2,1,1,0,5,1,10,0,0,0,0,0,10,sin_verificar,pendiente,Aramburu; Aramburu; BAR DEL ALVEAR PALACE HOTEL; Bis Bistró; Casa Veltri; Fervor; LA BIELA; Los Maestros; Restaurante Oviedo; Roux,,,,no_medida,pendiente,,,1,2,no_medida,pendiente,,,1
67,38.5,1,1,P001,si,1,0,no computa,Patio Costanera Norte — NO computa (decision n.23),no,8.058477356817585,0.6417910447761194,si,R07,Costanera Norte,no,0,1,0,0,0,0,2,0,0,0,0,0,2,sin_verificar,pendiente,Happening; Patio Costanera Norte,,,,no_medida,pendiente,,,2,2,no_medida,pendiente,,,2
823,335.46,5,5,P063; P074; P077; P080; P081,si,4,3,no,,no,1.82584851573351,0.1846901579586877,no,R08,Villa Crespo,no,1,0,0,0,5,2,8,0,0,0,0,0,8,sin_verificar,pendiente,Alcanfor; Fico; Han; Julia; Julia; SAN BERNARDO; Trescha; Trescha,,,,no_medida,pendiente,,,1,2,no_medida,pendiente,,,1
202,94.81,2,2,P068; P075,si,0,0,no,,no,1.4217619956195953,0.2227722772277227,no,R09,Chacarita,no,1,1,0,0,1,0,3,0,0,0,0,0,3,sin_verificar,pendiente,Albamonte Ristorante; Anchoíta; CAFE PALACIO,,,,no_medida,pendiente,,,1,2,no_medida,pendiente,,,1
508,225.36,3,2,P053; P056,si,1,0,si,Mercado del Progreso,si,1.7647928005531386,0.1377952755905512,no,R10,Caballito,no,1,0,0,0,0,0,2,0,0,0,0,0,2,sin_verificar,pendiente,Confiteria El Greco; Mercado del Progreso,,,,no_medida,pendiente,,,2,2,no_medida,pendiente,,,2
