fuente,archivo_origen,id_registro_original,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_pastas,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F02,f02_habilitaciones_aprobadas_2025.csv,409879,Gusmar Hnos S.R.L.,Elaboración de pastas alimenticias frescas,"a.- El escribano interviniente debe dar cumplimiento al Art.9 de la Resolución 766/AGC/2014.-
b.- Debe dotar de depósito de residuos reglamentario.- Art.7.2.6.1.inc.f).-C.E.-
c.- Debe rectificar la de",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,CIUDAD DE LA PAZ 896,13,,,,,2015,archivo=2025; disposicion=DI-2015-07956872-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,409879,Gusmar Hnos S.R.L.,Elaboración de pastas alimenticias frescas,"a.- El escribano interviniente debe dar cumplimiento al Art.9 de la Resolución 766/AGC/2014.-
b.- Debe dotar de depósito de residuos reglamentario.- Art.7.2.6.1.inc.f).-C.E.-
c.- Debe rectificar la de",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,CIUDAD DE LA PAZ 894,13,,,,,2015,archivo=2025; disposicion=DI-2015-07956872-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,409879,Gusmar Hnos S.R.L.,Elaboración de pastas alimenticias frescas,,elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,CIUDAD DE LA PAZ 896,13,,,,,2015,archivo=2025; disposicion=DI-2015-07956872-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,409879,Gusmar Hnos S.R.L.,Elaboración de pastas alimenticias frescas,,elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,CIUDAD DE LA PAZ 894,13,,,,,2015,archivo=2025; disposicion=DI-2015-07956872-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
 2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACION",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
 2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACION",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE
( EN TODOS SUS ITEMS.)
2.- DEBERA INDICAR HACIA DONDE CONDUCE LA ESCALERA ALLI EXISTENTE( QUE NO",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE
( EN TODOS SUS ITEMS.)
2.- DEBERA INDICAR HACIA DONDE CONDUCE LA ESCALERA ALLI EXISTENTE( QUE NO",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,EL LOCAL REQUIERE DE UN SECTOR EXPEDICION. ART. 7.3.3.1 DEL CE.,elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,EL LOCAL REQUIERE DE UN SECTOR EXPEDICION. ART. 7.3.3.1 DEL CE.,elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1-DEL SECTOR AL CUAL SE ACCEDE POR EL ACCESO PEATONAL NO ES FACTIBLE, COMUNICARSE CON EL RESTO DEL LOCAL, NO CONFORMANDO POR LO TANTO UNA SOLA UNIDAD DE USO. DEL MISMO MODO NO EXISTE ACCESO PEATONAL A",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1-DEL SECTOR AL CUAL SE ACCEDE POR EL ACCESO PEATONAL NO ES FACTIBLE, COMUNICARSE CON EL RESTO DEL LOCAL, NO CONFORMANDO POR LO TANTO UNA SOLA UNIDAD DE USO. DEL MISMO MODO NO EXISTE ACCESO PEATONAL A",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1-DEBERÁ DOTAR AL LOCAL DE UN LOCAL DESTINADO A ENVASAMIENTO Y/O EXPEDICIÓN, CON CARACTERÍSTICAS DE LOCALES DE 3°.-",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1-DEBERÁ DOTAR AL LOCAL DE UN LOCAL DESTINADO A ENVASAMIENTO Y/O EXPEDICIÓN, CON CARACTERÍSTICAS DE LOCALES DE 3°.-",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
 2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACION",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
 2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACION",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE
( EN TODOS SUS ITEMS.)
2.- DEBERA INDICAR HACIA DONDE CONDUCE LA ESCALERA ALLI EXISTENTE( QUE NO",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE
( EN TODOS SUS ITEMS.)
2.- DEBERA INDICAR HACIA DONDE CONDUCE LA ESCALERA ALLI EXISTENTE( QUE NO",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,EL LOCAL REQUIERE DE UN SECTOR EXPEDICION. ART. 7.3.3.1 DEL CE.,elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,EL LOCAL REQUIERE DE UN SECTOR EXPEDICION. ART. 7.3.3.1 DEL CE.,elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1-DEL SECTOR AL CUAL SE ACCEDE POR EL ACCESO PEATONAL NO ES FACTIBLE, COMUNICARSE CON EL RESTO DEL LOCAL, NO CONFORMANDO POR LO TANTO UNA SOLA UNIDAD DE USO. DEL MISMO MODO NO EXISTE ACCESO PEATONAL A",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1-DEL SECTOR AL CUAL SE ACCEDE POR EL ACCESO PEATONAL NO ES FACTIBLE, COMUNICARSE CON EL RESTO DEL LOCAL, NO CONFORMANDO POR LO TANTO UNA SOLA UNIDAD DE USO. DEL MISMO MODO NO EXISTE ACCESO PEATONAL A",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1-DEBERÁ DOTAR AL LOCAL DE UN LOCAL DESTINADO A ENVASAMIENTO Y/O EXPEDICIÓN, CON CARACTERÍSTICAS DE LOCALES DE 3°.-",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1-DEBERÁ DOTAR AL LOCAL DE UN LOCAL DESTINADO A ENVASAMIENTO Y/O EXPEDICIÓN, CON CARACTERÍSTICAS DE LOCALES DE 3°.-",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
 2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACION",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
 2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACION",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE
( EN TODOS SUS ITEMS.)
2.- DEBERA INDICAR HACIA DONDE CONDUCE LA ESCALERA ALLI EXISTENTE( QUE NO",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE
( EN TODOS SUS ITEMS.)
2.- DEBERA INDICAR HACIA DONDE CONDUCE LA ESCALERA ALLI EXISTENTE( QUE NO",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,EL LOCAL REQUIERE DE UN SECTOR EXPEDICION. ART. 7.3.3.1 DEL CE.,elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,EL LOCAL REQUIERE DE UN SECTOR EXPEDICION. ART. 7.3.3.1 DEL CE.,elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1-DEL SECTOR AL CUAL SE ACCEDE POR EL ACCESO PEATONAL NO ES FACTIBLE, COMUNICARSE CON EL RESTO DEL LOCAL, NO CONFORMANDO POR LO TANTO UNA SOLA UNIDAD DE USO. DEL MISMO MODO NO EXISTE ACCESO PEATONAL A",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1-DEL SECTOR AL CUAL SE ACCEDE POR EL ACCESO PEATONAL NO ES FACTIBLE, COMUNICARSE CON EL RESTO DEL LOCAL, NO CONFORMANDO POR LO TANTO UNA SOLA UNIDAD DE USO. DEL MISMO MODO NO EXISTE ACCESO PEATONAL A",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1-DEBERÁ DOTAR AL LOCAL DE UN LOCAL DESTINADO A ENVASAMIENTO Y/O EXPEDICIÓN, CON CARACTERÍSTICAS DE LOCALES DE 3°.-",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1-DEBERÁ DOTAR AL LOCAL DE UN LOCAL DESTINADO A ENVASAMIENTO Y/O EXPEDICIÓN, CON CARACTERÍSTICAS DE LOCALES DE 3°.-",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3543,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias secas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_secas,pastas_secas,0.9,Patron estricto: elaboracion_pastas_secas,LARRAZABAL 3541,8,,,,,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH
