fuente,archivo_origen,id_registro_original,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_pastas,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones,fuentes_que_lo_detectan,cantidad_fuentes,es_duplicado_probable,grupo_duplicado,confianza_match,requiere_revision_manual,registros_agrupados,comuna_efectiva,barrio_efectivo,nivel_universo
F02,f02_habilitaciones_aprobadas_2025.csv,409879,Gusmar Hnos S.R.L.,Elaboración de pastas alimenticias frescas,"a.- El escribano interviniente debe dar cumplimiento al Art.9 de la Resolución 766/AGC/2014.-
b.- Debe dotar de depósito de residuos reglamentario.- Art.7.2.6.1.inc.f).-C.E.-
c.- Debe rectificar la de",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,CIUDAD DE LA PAZ 896,13,,-34.570725,-58.447479,cache_usig_exacta,2015,archivo=2025; disposicion=DI-2015-07956872-   -DGH,F02,1,si,G0001,media,no,4,13,Colegiales,A
F02,f02_habilitaciones_aprobadas_2025.csv,88595,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- VISTO LOS RUBROS SOLICITADOS, EL LOCAL DEBERA CUMPLIMENTAR CON LO NORMADO EN EL ART. 7.3.1.1 DEL CE.
2.- DEBERA INDICAR SI SE ELABORA PAN EN CUYO CASO DEBERA CONTAR CON UNA CAMARA DE FERMENTACIONB",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,LARRAZABAL 3543,8,,-34.671957,-58.477981,cache_usig_exacta,2015,archivo=2025; disposicion=DI-2015-33500195-   -DGH,F02,1,si,G0002,media,no,72,8,Villa Lugano,A
F02,f02_habilitaciones_aprobadas_2025.csv,22645,Rodolfo Andres D´Antonio Y Maria Del Carmen Diaz S.H.,Elaboración de pastas alimenticias frescas,"1-HAY UNA DIVISIÓN ENTRE EL LOCAL 4 Y LA CUADRA DE ELABORACIÓN 5 QUE NO SE VÉ EN CORTE A-A.  ART. 2.1.4 CHyV.-

2-LA CUADRA DE ELABORACIÓN 5 NO VENTILA. ART. 4.6.4.2 CE.-

3-DIFIERE LA ASIGNACIÓN NUMÉ",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,DIRECTORIO AV. 3511,10,,-34.63799,-58.474706,cache_usig_exacta,2015,archivo=2025; disposicion=DI-2015-32915939-   -DGH,F02,1,si,G0003,media,no,2,10,Floresta,A
F02,f02_habilitaciones_aprobadas_2025.csv,139794,Alimentos Caseros S.A.,Elaboración de pastas alimenticias frescas,"1.- DEBERÁ AGREGAR DIGITALMENTE EL CERTIFICADO APRA.-

2.- DEBERÁ ADJUNTAR PLANOS DE HABILITACIÓN CONFORME AL PASO 6, PAG.22 DEL ANEXO III DE LA RESOLUCIÓN 766-AGC-2014 (FONDO BLANCO, LINEAS NEGRAS, E",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,"BILBAO, FRANCISCO 1437",7,,-34.631104,-58.449554,cache_usig_exacta,2016,archivo=2025; disposicion=DI-2016-10060221-   -DGH,F02,1,si,G0004,media,no,14,7,Parque Chacabuco,A
F02,f02_habilitaciones_aprobadas_2025.csv,281977,Manuel  Abraldes  S.R.L.,Elaboración de pastas alimenticias frescas,"1-ELABORACIÓN PB 02 NO VENTILA REGLAMENTARIAMENTE. ART. 4.6.4.2 CE.-

2-ACOTAR MEDIDA DE ANCHO DE PASO A SANITARIOS EN ENTREPISO, DEBE SER DE MÍNIMO 0.90 METROS. ART. 4.7.1.8 LEY N° 962.-

3-DEBE DOTA",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,"BEIRO, FRANCISCO AV. 4941",11,,-34.610781,-58.519945,cache_usig_exacta,2016,archivo=2025; disposicion=DI-2016-25680788-   -DGH,F02,1,si,G0005,media,no,4,11,Villa Devoto,A
F02,f02_habilitaciones_aprobadas_2025.csv,335613,"Carlos Alberto Vidal, Josefina Gutierrez Y Manuel Vidal",Elaboración de pastas alimenticias frescas,"SE REITERA:
1-LA DOCUMENTACION ADJUNTA PARA EVITAR LA 962 Y EL PLANO REGISTRADO DE VENTILACIÓN MECÁNICA DEBERÁN ESTAR CERTIFICADOS ASI SE TRATE DE ORIGINALES DE ACUERDO A LO ESTABLECIDO EN EL ART. 5° ",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,JURAMENTO AV. 2096,13,,-34.56037,-58.453642,cache_usig_exacta,2017,archivo=2025; disposicion=DI-2017-22774547-   -DGH,F02,1,si,G0006,media,no,24,13,Belgrano,A
F02,f02_habilitaciones_aprobadas_2025.csv,150478,La Caserita S.R.L.,Elaboración de pastas alimenticias frescas,"Se reitera: 1.- Debe escanear copia certificada del Plano Registrado de Ventilación Mecánica, conforme art. 4.6.6.2 AD 630.29.-",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,SAN JUAN AV. 3626,5,,,,sin_geo,2016,archivo=2025; disposicion=DI-2016-15935617-   -DGH,F02,1,si,G0007,media,si,8,5,,A
F02,f02_habilitaciones_aprobadas_2025.csv,32908,Friends Food S.A.,Elaboración de pastas alimenticias frescas,"1.- El depósito de envases carece de área mínima y ventilación reglamentaria en contravención al art. 7.3.1.1 del C.E.
2.- Debe dotar de acceso peatonal al local de elaboración, art. 4.7.1.2 ley Nº 96",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,MONTE 5938,9,,-34.663018,-58.49012,cache_usig_exacta,2016,archivo=2025; disposicion=DI-2016-07693924-   -DGH,F02,1,si,G0008,media,no,4,9,Mataderos,A
F02,f02_habilitaciones_aprobadas_2025.csv,123189,"Leonardo Pedro Vergara, Sergio Palacios Y Claudio Daniel Abalo Sociedad De Hech",Elaboración de pastas alimenticias frescas,"1.- Toda vez que se consigna ""sociedad de hecho "" en carátula de planos debe coincidir en toda la documentación.-",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,REGIMIENTO DE PATRICIOS AV. 1853,4,,-34.64711,-58.368294,cache_usig_exacta,2016,archivo=2025; disposicion=DI-2016-08351381-   -DGH,F02,1,si,G0009,media,no,8,4,Barracas,A
F02,f02_habilitaciones_aprobadas_2025.csv,442148,Gea 8 S.A.,Elaboración de pastas alimenticias frescas,"1.- Debe abstenerse de consignar en carátula de planos, lo relacionado con el permiso de musica y/o canto.-
2.- Debe rectificar el certificado de sobrecarga en lo concerniente a los depósitos, ajustan",elaboracion_pastas_frescas,pastas_frescas,0.9,Patron estricto: elaboracion_pastas_frescas,JUNIN 1735,2,,-34.588914,-58.392675,cache_usig_exacta,2016,archivo=2025; disposicion=DI-2016-15533963-   -DGH,F02,1,si,G0010,media,no,12,2,Recoleta,A
F02,f02_habilitaciones_aprobadas_2025.csv,325657,Farfalla Pastas S.R.L,COM.MIN. DE PRODUCTOS ALIMENTICIOS EN GENERAL,1-Debe agregar el nombre del titular en la caratula de plano .-2.-Debe indicar la cantidad de personas que trabajan en el local .-3-Debe indica en caratula de plano la planta que habilita y la unidad ,pasta_en_texto,probable_nombre_pastas,0.5,Texto menciona pastas sin rubro concluyente y sin senial de restaurante,ECHEVERRIA 3099,13,,,,sin_geo,2016,archivo=2025; disposicion=DI-2016-22482724-   -DGH,F02,1,si,G0011,media,si,40,13,,B
