query,unicos_atribuidos,A,B,C
Biasatti Pastificio CABA,2,2,0,0
Caprizzi Pastas CABA,4,4,0,0
El Buen Gusto fábrica de pastas CABA,1,1,0,0
La Juvenil Pastas CABA,20,18,0,2
La Salteña pastas CABA,20,1,0,19
Las Malvinas fábrica de pastas CABA,1,1,0,0
Master Pastas CABA,2,2,0,0
Multipasta CABA,7,7,0,0
Pastas Master CABA,0,0,0,0
Pastas Mazzeo CABA,2,2,0,0
Raviolon Pastas CABA,2,2,0,0
casa de pastas Almagro,16,8,0,8
casa de pastas Belgrano,16,10,0,6
casa de pastas CABA,10,6,1,3
casa de pastas Caballito,16,6,0,10
casa de pastas Flores,16,13,0,3
casa de pastas Palermo,10,1,0,9
casa de pastas Recoleta,9,3,0,6
casa de pastas Villa Devoto,20,7,2,11
casa de pastas Villa Urquiza,19,8,0,11
fábrica de pastas CABA,0,0,0,0
pastas frescas CABA,0,0,0,0
pastificio CABA,9,3,1,5
ravioles CABA,1,1,0,0
sorrentinos CABA,1,0,0,1
ñoquis frescos CABA,1,1,0,0
