barrio,cantidad,area_km2,densidad_por_km2
Palermo,30,15.9226,1.8841
Caballito,23,6.851,3.3572
Belgrano,22,8.06,2.7295
Recoleta,21,6.4334,3.2642
Villa Urquiza,19,5.4491,3.4868
Almagro,17,4.0508,4.1968
Flores,15,8.5908,1.7461
Villa Devoto,10,6.4044,1.5614
Colegiales,8,2.2898,3.4938
Villa Crespo,7,3.616,1.9359
Monserrat,5,2.1986,2.2742
Villa Del Parque,5,3.3996,1.4708
Boedo,5,2.6099,1.9158
Balvanera,4,4.3423,0.9212
San Nicolas,4,2.289,1.7475
Villa Real,4,1.3341,2.9982
Parque Chacabuco,4,3.8321,1.0438
Saavedra,4,5.5387,0.7222
Liniers,4,4.3744,0.9144
Parque Patricios,3,3.7434,0.8014
Barracas,3,7.9551,0.3771
Villa Santa Rita,3,2.1537,1.393
Mataderos,3,7.3982,0.4055
Villa Luro,3,2.5669,1.1687
Parque Chas,2,1.3854,1.4436
Floresta,2,2.3206,0.8618
Velez Sarsfield,2,2.4005,0.8332
Nuñez,2,4.4967,0.4448
La Boca,2,5.0375,0.397
Monte Castro,2,2.6275,0.7612
San Telmo,2,1.2323,1.623
San Cristobal,2,2.0437,0.9786
Agronomia,1,2.1222,0.4712
Retiro,1,4.5144,0.2215
Versalles,1,1.4068,0.7108
Parque Avellaneda,1,4.7327,0.2113
Coghlan,1,1.28,0.7813
Villa Ortuzar,1,1.8538,0.5394
Chacarita,1,3.1157,0.321
Villa Gral. Mitre,1,2.1623,0.4625
Villa Soldati,1,8.6907,0.1151
Villa Lugano,1,9.2961,0.1076
