barrio,cantidad,area_km2,densidad_por_km2
Almagro,17,4.0508,4.1967
Caballito,25,6.851,3.6491
Recoleta,23,6.4334,3.5751
Colegiales,8,2.2898,3.4938
Villa Urquiza,19,5.4491,3.4868
Villa Real,4,1.3341,2.9983
Belgrano,23,8.06,2.8536
San Nicolas,6,2.289,2.6212
Monserrat,5,2.1986,2.2742
Palermo,34,15.9226,2.1353
Villa Devoto,13,6.4044,2.0299
Villa Crespo,7,3.616,1.9358
Flores,14,8.5908,1.6297
San Telmo,2,1.2323,1.623
Villa Luro,4,2.5669,1.5583
Villa Del Parque,5,3.3996,1.4708
Parque Chas,2,1.3854,1.4436
Villa Santa Rita,3,2.1537,1.393
Parque Chacabuco,4,3.8321,1.0438
Balvanera,4,4.3423,0.9212
Liniers,4,4.3744,0.9144
Floresta,2,2.3206,0.8618
Velez Sarsfield,2,2.4005,0.8332
Coghlan,1,1.28,0.7812
Boedo,2,2.6099,0.7663
Monte Castro,2,2.6275,0.7612
Saavedra,4,5.5387,0.7222
Versalles,1,1.4068,0.7108
La Boca,3,5.0375,0.5955
Mataderos,4,7.3982,0.5407
Villa Ortuzar,1,1.8538,0.5394
San Cristobal,1,2.0437,0.4893
Agronomia,1,2.1222,0.4712
Villa Gral. Mitre,1,2.1623,0.4625
Nuñez,2,4.4967,0.4448
Barracas,3,7.9551,0.3771
Chacarita,1,3.1157,0.321
Parque Patricios,1,3.7434,0.2671
Retiro,1,4.5144,0.2215
Parque Avellaneda,1,4.7327,0.2113
Villa Soldati,1,8.6907,0.1151
Villa Lugano,1,9.2961,0.1076
