campo,descripcion,tipo,obligatorio,fuente_tipica,sensible,valor_si_falta,observacion
nombre,nombre del mercado gastronomico o espacio,texto,si,oficial|web|osm,no,pendiente,usar nombre oficial cuando exista
tipo_mercado_gastronomico,tipologia segun taxonomia_mercados,enum,si,clasificacion,no,dudoso_pendiente_revision,no excluir mixtos; foco gastronomico o alimentario
gestion_publica_privada_mixta,modelo de gestion,enum,si,oficial|web,no,pendiente,publica|privada|mixta|pendiente
barrio,barrio CABA,texto,si,oficial|osm,no,pendiente,normalizar contra catalogo oficial CABA
comuna,comuna CABA,entero,si,oficial|geo,no,pendiente,derivar de barrio si falta
direccion_o_zona,direccion o zona aproximada,texto,no,oficial|web,no,pendiente,evitar precision innecesaria salvo direccion publica oficial
horarios,franja horaria de atencion,texto,no,web|oficial,no,pendiente,autodeclarado a contrastar
dias_de_apertura,dias de funcionamiento,texto,no,web|oficial,no,pendiente,distinguir permanente de temporal
oferta_gastronomica,oferta de comida y bebida preparada,texto,no,web|relevamiento,no,pendiente,eje del informe; no sobrestimar
oferta_alimentaria,oferta de alimentos productos frescos y bebidas,texto,no,web|relevamiento,no,pendiente,verduleria carniceria fiambreria panaderia productores etc
oferta_no_gastronomica_secundaria,oferta no gastronomica accesoria,texto,no,web|relevamiento,no,pendiente,solo si es secundaria; si es central revisar alcance
cantidad_de_puestos_si_existe,cantidad de puestos,entero,no,oficial|web,no,pendiente,solo si hay dato confiable
tipo_de_puestos,composicion de puestos,texto,no,web|relevamiento,no,pendiente,gastronomicos alimentarios mixtos
publico_objetivo,publico que atiende,texto,no,web|relevamiento,no,pendiente,barrial|turistico|mixto
perfil_turistico,intensidad de perfil turistico,enum,no,turismo|web,no,pendiente,alto|medio|bajo|pendiente
perfil_barrial,intensidad de perfil barrial,enum,no,relevamiento,no,pendiente,alto|medio|bajo|pendiente
presencia_de_productores,hay venta directa de productores de alimentos,enum,no,oficial|web,no,pendiente,si|no|pendiente
presencia_de_locales_gastronomicos,hay locales gastronomicos,enum,no,relevamiento|places,no,pendiente,si|no|pendiente
eventos_o_activaciones,eventos o activaciones gastronomicas en el predio,texto,no,interna|web,no,pendiente,usar agregado interno sin PII
relacion_con_politicas_publicas,vinculo con politicas eventos o circuitos gastronomicos,texto,no,oficial|interna,no,pendiente,BA Capital Gastronomica circuitos o programas
estado_aparente,estado operativo aparente,enum,no,web|places,no,pendiente,activo|cerrado|dudoso|pendiente
fuentes,fuentes que respaldan la ficha,texto,si,todas,no,pendiente,listar codigos de fuente
nivel_de_confianza,nivel de confianza de la ficha,enum,si,metodologia,no,pendiente,alto|medio|bajo|oficial_incompleto
estado_revision,estado de la revision del foco gastronomico,enum,si,metodologia,no,pendiente,candidato_local|revisar_foco_gastronomico|fuera_de_alcance|confirmado
observaciones,notas no sensibles,texto,no,todas,no,,sin datos personales
