mercado_detectado,archivo_origen,tipo_clasificacion,ya_en_v1_2,accion
"09, 16 y 23 de junio- DGDGAS-CLASES DE COCINA SALUDABLE EN LOS MERCADOS","09, 16 y 23 de junio- DGDGAS-CLASES DE COCINA SALUDABLE EN LOS MERCADOS.pdf",mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
1. Minuta Mercado Belgrano 27-2,1. Minuta Mercado Belgrano 27-2.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
1. Minuta Mercado Bonpland 27-2,1. Minuta Mercado Bonpland 27-2.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
"12, 19 y 26 de mayo- DGDGAS-CLASES DE COCINA SALUDABLE EN LOS MERCADOS","12, 19 y 26 de mayo- DGDGAS-CLASES DE COCINA SALUDABLE EN LOS MERCADOS.pdf",mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
BASE DE DATOS - MERCADOS Y PATIOS,BASE DE DATOS - MERCADOS Y PATIOS.xlsx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
BRIEF Mercado San Nicolás,BRIEF Mercado San Nicolás.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
DataMercados,DataMercados.zip,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
Estado de Tramitacion para habilitar los Mercados (cuadro Ernesto post reu),Estado de Tramitacion para habilitar los Mercados (cuadro Ernesto post reu).xlsx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
GANT Mercado de Belgrano,GANT Mercado de Belgrano.docx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
GANTT Mercado de Bonpland final,GANTT Mercado de Bonpland final.xlsx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
INFORME CONCURSO MERCADO DE SAN NICOLAS,INFORME CONCURSO MERCADO DE SAN NICOLAS.docx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
Informe Mercado Bonpland-comedor espacio trasero 20-2,Informe Mercado Bonpland-comedor espacio trasero 20-2.docx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
Informe MERCADO DEL PROGRESO,Informe MERCADO DEL PROGRESO.docx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
intimaciones Mercado Belgrano_AL 15-09-23,intimaciones Mercado Belgrano_AL 15-09-23.xlsx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
LISTADO MERCADOS Y PATIOS ,LISTADO MERCADOS Y PATIOS .xlsx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
Locales gastronómicos. Bajo viaducto BELGRANO C,Locales gastronómicos. Bajo viaducto BELGRANO C.xlsx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
MERCADO BELGRANO-LOCAL 63,MERCADO BELGRANO-LOCAL 63.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
MERCADO BELGRANO-LOCAL 82,MERCADO BELGRANO-LOCAL 82.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
MERCADO BELGRANO-LOCAL 83,MERCADO BELGRANO-LOCAL 83.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
MERCADO DE BONPLAND LOCALES,MERCADO DE BONPLAND LOCALES.docx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
Mercado de Bonpland,Mercado de Bonpland.docx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
MERCADO SAN NICOLAS  ampliacion,MERCADO SAN NICOLAS  ampliacion.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
Mercados DGDGAS-Punteo prioridades,Mercados DGDGAS-Punteo prioridades.docx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
MERCADOS Y PATIOS DE LA CIUDAD DE BUENOS AIRES,MERCADOS Y PATIOS DE LA CIUDAD DE BUENOS AIRES.docx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
Minuta 07_05 - Habilitaciones Mercados,Minuta 07_05 - Habilitaciones Mercados.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
PPT CANON MERCADOS,PPT CANON MERCADOS.pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
PPT MERCADO BONPLAND xa lunes,PPT MERCADO BONPLAND xa lunes.pptx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
PPT MERCADO DE BONPLAND ,PPT MERCADO DE BONPLAND .pdf,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
PPT Mercados y Patios Gastronómicos - General,PPT Mercados y Patios Gastronómicos - General.pptx,mercados_gastronomicos,por_revisar,revisar si ya esta en V1.2 o es posible omitido
