id_fuente,nombre_mercado,tipo_fuente,titulo,medio_organismo,url,fecha_publicacion_si_existe,fecha_consulta,afirmacion_sostenida,campo_que_respalda,nivel_confianza,observacion
DOC-001,Mercado de San Telmo,oficial_gcba,Mercado de San Telmo,GCBA Descubrir BA,http://buenosaires.gob.ar/Descubrir%20BA/mercado-de-san-telmo,,2026-06-23,inmueble municipal patrimonial con puestos privados,gestion,C1_oficial,reutilizada de V1.2; horarios siguen pendientes
DOC-002,Mercado de San Telmo,oficial_nacion,Mercado de San Telmo (monumentos),Argentina.gob.ar Cultura,https://www.argentina.gob.ar/capital-humano/cultura/monumentos/mercado-de-san-telmo,,2026-06-23,monumento historico; caracter patrimonial,estado_operativo,C1_oficial,reutilizada de V1.2
DOC-003,Mercado de Belgrano,oficial_gcba,Mercado de Belgrano,GCBA Descubrir BA,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-belgrano,,2026-06-23,oferta gastronomica y abastecimiento; ex CAM 128,oferta,C1_oficial,reutilizada de V1.2
DOC-004,Mercado del Progreso,sitio_oficial_mercado,Mercado del Progreso,Mercado del Progreso,https://mercadodelprogreso.com/,,2026-06-23,direccion dias horarios y gestion privada,horarios,C2_sitio_oficial_del_mercado,reutilizada de V1.2
DOC-005,Mercat Villa Crespo,oficial_turismo,Mercat Villa Crespo,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercat-villa-crespo,,2026-06-23,dias horarios y oferta,horarios,C1_oficial,reutilizada de V1.2
DOC-006,Mercado Soho,sitio_oficial_mercado,Mercado Soho,Mercado Soho,https://www.mercadosoho.com.ar/,,2026-06-23,locales gastronomicos y horarios,oferta,C2_sitio_oficial_del_mercado,reutilizada de V1.2
DOC-007,Patio de los Lecheros,oficial_gcba,Patio de los Lecheros,GCBA Desarrollo Economico,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-de-los-lecheros,,2026-06-23,direccion dias horarios y caracter publico,horarios,C1_oficial,reutilizada de V1.2
DOC-008,Mercado Bonpland,oficial_turismo,Mercado Bonpland,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-bonpland,,2026-06-23,direccion dias horarios y economia solidaria,horarios,C1_oficial,reutilizada de V1.2
DOC-009,El Galpon,sitio_oficial_mercado,El Galpon Centro Comunal de Abastecimiento,El Galpon,https://elgalpon.org.ar/,,2026-06-23,dias horarios y oferta organica,horarios,C2_sitio_oficial_del_mercado,reutilizada de V1.2
DOC-010,Smart Plaza Parque Patricios,oficial_gcba,Smart Plaza Patio Parque Patricios,GCBA,http://buenosaires.gob.ar/smart-plaza-patio-parque-patricios,,2026-06-23,direccion dias horarios y puestos,horarios,C1_oficial,reutilizada de V1.2
DOC-011,Patio Costanera Norte,oficial_turismo,Patio Costanera Norte,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/patio-costanera-norte,,2026-06-23,dias horarios oferta y capacidad,horarios,C1_oficial,reutilizada de V1.2
DOC-012,Patio Gastronomico Rodrigo Bueno,oficial_gcba,Patio Rodrigo Bueno,GCBA Desarrollo Economico,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-rodrigo-bueno,,2026-06-23,direccion dias horarios y politica publica,horarios,C1_oficial,reutilizada de V1.2
DOC-013,Mercado San Nicolas,oficial_gcba,Mercado San Nicolas,GCBA Desarrollo Economico,http://buenosaires.gob.ar/desarrolloeconomico/gastronomia/mercado-san-nicolas,,2026-06-23,direccion horarios oferta y 18 locales; ex CAM 72,oferta,C1_oficial,reutilizada de V1.2
DOC-014,Mercat Caballito,prensa,Abrio Mercat Caballito,Info Gastronomica,https://www.infogastronomica.com.ar/abrio-mercat-caballito-que-comer-y-beber-en-este-nuevo-mercado-gastronomico-de-buenos-aires/,,2026-06-23,abierto todos los dias 10-24; 11 locales,horarios,C3_multifuente_confiable,reutilizada de V1.2; falta fuente oficial
DOC-015,Buenos Aires Market,sitio_oficial_mercado,Buenos Aires Market,Buenos Aires Market,https://www.buenosairesmarket.com/,,2026-06-23,feria itinerante de productores y gastronomia,estado_operativo,C2_sitio_oficial_del_mercado,reutilizada de V1.2; horarios por sede
DOC-016,Sabe la Tierra,sitio_oficial_mercado,Sabe la Tierra,Sabe la Tierra,https://sabelatierra.org/,,2026-06-23,feria de productores organicos itinerante,estado_operativo,C2_sitio_oficial_del_mercado,reutilizada de V1.2; sedes por confirmar
DOC-017,Mercado de los Carruajes,prensa,Cerro el Mercado de los Carruajes,La Nacion,https://www.lanacion.com.ar/economia/cerro-el-mercado-de-los-carruajes-y-volvera-a-reconvertirse-en-un-espacio-para-eventos-nid07052025/,2025,2026-06-23,cierre definitivo en abril 2025,estado_operativo,C3_multifuente_confiable,reutilizada de V1.2; caso cerrado documentado
