archivo,clasificacion,formato,cantidad_hojas,filas_aprox,columnas_detectadas_no_sensibles,senal,observacion
"09, 16 y 23 de junio- DGDGAS-CLASES DE COCINA SALUDABLE EN LOS MERCADOS.pdf",mercados_gastronomicos,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
1. Inspección MSN 1-6-26.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
1. Minuta DGDGAS-CONCESIONES 28-5 .pdf,gestion_concesiones,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
1. Minuta Mercado Belgrano 27-2.pdf,mercados_gastronomicos,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
1. Minuta Mercado Bonpland 27-2.pdf,mercados_gastronomicos,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
1. Minuta MSN 28-2 (enviada).docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
1. Minuta MSN 28-2.pdf,dudoso,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
12 y 26 de febrero-DGDGAS - Clases de cocina saludable.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
"12, 19 y 26 de mayo- DGDGAS-CLASES DE COCINA SALUDABLE EN LOS MERCADOS.pdf",mercados_gastronomicos,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
16_1_2024 Minuta reu Bienes - DGDGAS.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
17 de marzo-DGDGAS - Clases de cocina saludable.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
23_05_2024 Reunión con cooperadora MB - DGDGAS.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
"ANEXO III - PLANES, PROYECTOS Y PROGRAMAS 1.pdf",programas,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
"ANEXO III - PLANES, PROYECTOS Y PROGRAMAS 2.pdf",programas,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
"ANEXO III - PLANES, PROYECTOS Y PROGRAMAS 3.pdf",programas,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
"ANEXO III - PLANES, PROYECTOS Y PROGRAMAS 4.pdf",programas,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
"ANEXO III - PLANES, PROYECTOS Y PROGRAMAS 5.pdf",programas,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
"ANEXO III - PLANES, PROYECTOS Y PROGRAMAS 6.pdf",programas,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
ANEXO VI - CUESTIONES URGENTES DE GESTIÓN 1.pdf,dudoso,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
ARQUITECTURA-INCORPORACION SUP BCO CIUDAD_12-05-26.pdf,dudoso,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
BASE DE DATOS - MERCADOS Y PATIOS.xlsx,mercados_gastronomicos,xlsx,9,999,MERCADO | [columna_sensible_omitida] | COOPERADORA | [columna_sensible_omitida] | AUTORIDAD/ES | [columna_sensible_omitida] | DISPOSICIÓN | TIPO,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Borrador de Disposicion para llamado a Concurso.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Borrador de Informe Motivacion Concursos.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Borrador de Plazos y Procedimiento (GANTT).docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
borrwdor.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
BPNPLAND 08-03-24.xlsx,dudoso,xlsx,1,986,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
BRIEF Mercado San Nicolás.pdf,mercados_gastronomicos,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
CCOO Banco Ciudad pedido espacio.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Comparativo Listado Gatto y cada uno.xlsx,dudoso,xlsx,3,6,LISTADO DE JEFES DE TRIBU,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Concurso MSN abril 2024.pdf,dudoso,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Concurso MSN abril 2024.pptx,dudoso,pptx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
"Concursos MB locales 82, 83 y 82.pptx",dudoso,pptx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Concursos MSN Locales 8 y 16.pdf,dudoso,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Conttactos censo.xlsx,dudoso,xlsx,10,41,[columna_sensible_omitida],metadata_no_sensible,clasificacion heuristica; revisar manualmente
Convocatorio concurso MB locales 63 70.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Copia de Base de datos   DGDGAS EVENTOS.xlsx,eventos,xlsx,15,13,Rubro | [columna_sensible_omitida],metadata_no_sensible,clasificacion heuristica; revisar manualmente
CROQUIS-INCORPORACION SUP BACO CIUDAD_12-05-26.pdf,dudoso,pdf,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Cuadro Permiso Patios.xlsx,dudoso,xlsx,1,5,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
DataMercados.zip,mercados_gastronomicos,zip,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
DGDGAS - Excel para formularios transicion republicana.xlsx,dudoso,xlsx,1,998,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
DGDGAS - Formulario “Permisos – Autorizaciones – Concesiones”.xlsx,gestion_concesiones,xlsx,3,16,"RAZÓN SOCIAL/ NOMBRE DEL BENEFICIARIO | DIRECCIÓN | EXPEDIENTE | TIPO DE OCUPACIÓN (Permiso, concesión, autorización, etc.) | RUBRO (*) | CARÁCTER (Gratuito/oneroso)",metadata_no_sensible,clasificacion heuristica; revisar manualmente
Estado de Tramitacion para habilitar los Mercados (cuadro Ernesto post reu).xlsx,mercados_gastronomicos,xlsx,1,8,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Estado tramites hab.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Estrategia gestión CAMs 2026 Versión R.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Excel- Detalle MB gastro.xlsx,dudoso,xlsx,1,55,Mercado de Belgrano y Otros,metadata_no_sensible,clasificacion heuristica; revisar manualmente
GANT Mercado de Belgrano.docx,mercados_gastronomicos,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Gantt Bonpland.xlsx,dudoso,xlsx,1,28,Proyecto,metadata_no_sensible,clasificacion heuristica; revisar manualmente
GANTT Mercado de Bonpland final.xlsx,mercados_gastronomicos,xlsx,1,32,Mercado de Bonpland,metadata_no_sensible,clasificacion heuristica; revisar manualmente
Informe Abril 2024.docx,dudoso,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
INFORME CONCURSO MERCADO DE SAN NICOLAS.docx,mercados_gastronomicos,docx,0,0,,metadata_no_sensible,clasificacion heuristica; revisar manualmente
