indicador,valor,unidad
total_activos_confirmados,13,mercados
sede_fija,11,mercados
itinerantes,2,mercados
mercados_historicos,3,mercados
mercados_barriales_alimentarios,1,mercados
food_halls,2,mercados
patios_gastronomicos,4,mercados
mercados_de_productores,2,mercados
ferias_itinerantes,2,mercados
gestion_publica,3,mercados
gestion_privada,5,mercados
gestion_mixta,5,mercados
con_horario_confirmado,11,mercados
operacion_diaria_o_casi_diaria,5,mercados
operacion_dias_especificos,6,mercados
operacion_itinerante,2,mercados
comunas_con_presencia,6,comunas
en_revision_no_activos,3,espacios
cerrados_documentados,1,espacios
