mercado_o_caso,tipo_fuente,titulo,medio_organismo,url,fecha
Mercado de San Telmo,oficial_gcba,Mercado de San Telmo,GCBA Descubrir BA,http://buenosaires.gob.ar/Descubrir%20BA/mercado-de-san-telmo,sin_fecha
Mercado de San Telmo,oficial_turismo,San Telmo market,Turismo BA,https://turismo.buenosaires.gob.ar/en/otros-establecimientos/san-telmo-market,2017-09-05
Mercado de Belgrano,oficial_gcba,Mercado de Belgrano,GCBA Descubrir BA,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-belgrano,sin_fecha
Mercado del Progreso,sitio_propio,Mercado del Progreso,Mercado del Progreso,https://mercadodelprogreso.com/,sin_fecha
Mercado del Progreso,oficial_turismo,Mercado del Progreso,Turismo BA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-del-progreso,2013-02-13
Mercado San Nicolas,oficial_turismo,Mercado San Nicolas,Turismo BA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-de-san-nicolas,2025-09-30
Mercado Bonpland,oficial_nacion,Mercado Bonpland economia solidaria,Argentina.gob.ar,https://www.argentina.gob.ar/desarrollosocial/cronicasdeldesarrollo/mercado-bonpland-economia-solidaria-en-las-calles-de-palermo,sin_fecha
Patio de los Lecheros,oficial_gcba,Patio de los Lecheros,Buenos Aires Ciudad,https://buenosaires.gob.ar/patio-de-los-lecheros,sin_fecha
Patio de los Lecheros,oficial_gcba,El Patio de los Lecheros cumple 5 anos,Buenos Aires Ciudad,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/noticias/el-patio-de-los-lecheros-cumple-5-anos,2026-05-19
Smart Plaza Parque Patricios,oficial_gcba,Smart Plaza Patio Parque Patricios,Buenos Aires Ciudad,https://buenosaires.gob.ar/smart-plaza-patio-parque-patricios,sin_fecha
Mercado Soho,oficial_turismo,Mercado Soho,Turismo BA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-soho,2021-09-14
Mercat Caballito,prensa,Mercat Caballito abre un nuevo mercado gastronomico,El Cronista,https://www.cronista.com/clase/gourmet/mercat-caballito-abre-un-nuevo-mercado-gastronomico-en-buenos-aires/,2022-04-05
Gourmand Food Hall,sitio_propio,Gourmand Food Hall,Gourmand Food Hall,https://gourmandfoodhall.com/,sin_fecha
Mercado de los Carruajes,prensa,Cerro el Mercado de los Carruajes,Radio Hache,https://www.radiohache.com/articulo/cerro-el-mercado-de-los-carruajes-y-volvera-a-reconvertirse-en-un-espacio-para-eventos.php,2025-05-06
Concesiones (contexto gestion),normativa,Disposicion 205 2024 DG Concesiones y Permisos,Boletin Oficial CABA,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/758253,2024-10-17
