direccion,patron,anio_habilitacion,clave_habilitacion,partida_matriz,archivo_origen,comuna,misma_partida
"ACOSTA, MARIANO AV. 1145",despacho_de_pan,,189,23572,f02_habilitaciones_aprobadas_2015_2018.csv,9,si
"ACOSTA, MARIANO AV. 1145",despacho_de_pan,2018,375282,23572,f02_habilitaciones_aprobadas_2015_2018.csv,9,si
ACOYTE AV. 95,despacho_de_pan,2015,241084/1,175195,f02_habilitaciones_aprobadas_2015_2018.csv,6,si
ACOYTE AV. 95,despacho_de_pan,2017,348907/1,175195,f02_habilitaciones_aprobadas_2015_2018.csv,6,si
"ALBERDI, JUAN BAUTISTA AV. 4348",elaboracion_panaderia_venta_directa,2016,302625,96582,f02_habilitaciones_aprobadas_2015_2018.csv,9,si
"ALBERDI, JUAN BAUTISTA AV. 4348",elaboracion_panaderia_venta_directa,2018,372050,96582,f02_habilitaciones_aprobadas_2015_2018.csv,9,si
ALBERTI 1716,elaboracion_panaderia_venta_directa,2016,301887,100319,f02_habilitaciones_aprobadas_2015_2018.csv,4,si
ALBERTI 1716,elaboracion_panaderia_venta_directa,2018,358668,100319,f02_habilitaciones_aprobadas_2015_2018.csv,4,si
"ALCORTA, AMANCIO AV. 3331",elaboracion_panaderia_venta_directa,2017,341113,106547,f02_habilitaciones_aprobadas_2015_2018.csv,4,si
"ALCORTA, AMANCIO AV. 3331",elaboracion_panaderia_venta_directa,2022,465770,106547,f02_habilitaciones_aprobadas_2022.csv,4,si
ALVAREZ JONTE 1949,elaboracion_panaderia_venta_directa,2019,234644,243342,f02_habilitaciones_aprobadas_2019.csv,15,si
ALVAREZ JONTE 1949,elaboracion_panaderia_venta_directa,,,243342,f02_habilitaciones_aprobadas_2025.csv,15,si
ALVAREZ JONTE AV. 4212,elaboracion_panaderia_venta_directa,2017,341917,306148,f02_habilitaciones_aprobadas_2015_2018.csv,10,si
ALVAREZ JONTE AV. 4212,elaboracion_panaderia_venta_directa,2019,377611,306148,f02_habilitaciones_aprobadas_2019.csv,10,si
ANDONAEGUI 2191,despacho_de_pan,2015,240492/1,351180,f02_habilitaciones_aprobadas_2015_2018.csv,12,si
