partida_matriz,habilitaciones_distintas,domicilio
19,168,001d
15,161,12
23,144,207125
14,133,9
29,130,210474
21,108,1312777
27,91,CUENCA 86
55,57,BACACAY 3202
210474,46,ESTADOS UNIDOS 458
457429,42,"RAWSON DE DELLEPIANE, ELVIRA AV. 550"
325783,27,CABILDO AV. 2040
311278,25,FERNANDEZ DE ENCISO 3966
206471,22,CORRIENTES AV. 2306
85565,20,SAENZ AV. 1179
119399,18,SALTA 1706
035A,16,432615
325782,15,ECHEVERRIA 2493
307971,15,CORRIENTES AV. 6026
81580,15,OLIVERA AV. 1571
453625,14,CERRITO 1541
014A,14,
325797,13,CABILDO AV. 2004
341497,13,DEL LIBERTADOR AV. 5889
221263,12,SUIPACHA 190
335661,12,JURAMENTO 1694
005A,12,3115768
212211,11,SALTA 1496
149947,11,SAN PEDRITO AV. 30
423057,11,SERRANO 1182
196094,10,RIVADAVIA AV. 2976
162013,10,RIVADAVIA AV. 5380
336168,10,BLANCO ENCALADA 2288
219148,10,"SAENZ PEÑA, LUIS, PRES. 12"
92532,9,RIVADAVIA AV. 11440
221441,9,CORDOBA AV. 966
451304,9,"ALVEAR, MARCELO T. De 1222"
345826,9,TRIUNVIRATO AV. 4807
362885,8,"ARTIGAS, JOSE GERVASIO, GRAL. 5067"
221163,8,TUCUMAN 816
175892,8,HIDALGO 706
429676,8,UGARTECHE 2896
148060,8,CURAPALIGUE 810
218904,8,MORENO 970
416572,8,CABILDO AV. 1099
217885,7,MORENO 1501
403054,7,BONPLAND 1511
206639,7,RIVADAVIA AV. 2469
325774,7,CIUDAD DE LA PAZ 2024
326787,7,ZAPIOLA 2488
220697,7,LAVALLE 652
453521,7,PARAGUAY 635
223542,7,"SAENZ PEÑA, ROQUE, PRES. AV. 924"
325213,7,CABILDO AV. 1854
109972,7,SAENZ AV. 1192
91634,7,WHITE 2007
218723,7,MORENO 1299
200023,7,ENTRE RIOS AV. 219
250454,7,NAZCA AV. 1388
304623,7,"LOZANO, PEDRO 3085"
452545,7,RODRIGUEZ PEÑA 1084
433670,7,"SCALABRINI ORTIZ, RAUL AV. 1880"
325657,7,ECHEVERRIA 3099
179269,7,"GARCIA LORCA, FEDERICO 100"
338304,7,CAMPOS SALLES 2391
306161,7,MIRANDA 4391
433026,7,"SEGUI, JUAN FRANCISCO 3545"
442058,7,"PACHECO DE MELO, JOSE ANDRES 1996"
434005,7,MALABIA 430
376615,6,MONROE 2575
143210,6,"FALCON, RAMON L.,CNEL. 2572"
148509,6,AVELLANEDA AV. 1766
230092,6,"REPETTO, NICOLAS, DR. 1443"
408907,6,SUPERI 1399
410049,6,CIUDAD DE LA PAZ 1090
429769,6,LAS HERAS GENERAL AV. 3301
214063,6,SAN JUAN AV. 419
378285,6,ROOSEVELT FRANKLIN D. 1702
254237,6,NAZCA AV. 2302
422566,6,SERRANO 615
372983,6,CRAMER AV. 3226
361783,6,NAZCA 4732
223354,6,LAVALLE 980
221073,6,ESMERALDA 266
433607,6,PARAGUAY 3766
402012,6,OLLEROS 3996
426642,5,SANTA FE AV. 3798
440732,5,AZCUENAGA 1077
277190,5,NOGOYA 4496
373646,5,MONROE 4897
74133,5,"DE LA TORRE, LISANDRO 1200"
107837,5,TRAFUL 3894
266194,5,NOGOYA 3205
162032,5,GUAYAQUIL 702
148856,5,CURAPALIGUE 443
287900,5,LOPE DE VEGA AV. 3037
145321,5,SAN PEDRITO AV. 395
302413,5,"LAMARCA, EMILIO 2131"
447715,5,"MANSILLA, LUCIO NORBERTO, GENERAL 2894"
228391,5,OLAYA 1533
325451,5,MOLDES 1915
441345,5,PUEYRREDON AV. 1168
156428,5,DIRECTORIO AV. 307
311093,5,CUENCA 2817
376886,5,GARCIA DEL RIO 4052
376479,5,LA PAMPA 2455
236434,5,BOYACA 1998
161212,5,RIVADAVIA AV. 3950
425280,5,"ALVAREZ, JULIAN 1717"
433121,5,ARENALES 3721
160740,5,"MORENO, JOSE MARIA AV. 601"
421205,5,"RAMIREZ DE VELASCO, JUAN 489"
444599,5,GORRITI 3606
218914,5,"IRIGOYEN, BERNARDO de 190"
410812,5,LA PAMPA 2496
134813,5,YERBAL 2377
223940,5,SARMIENTO 1301
431570,5,SANTA FE AV. 4496
417548,5,CORDOBA AV. 6263
160353,4,LA PLATA AV. 988
205023,4,CALLAO AV. 66
218668,4,BALCARCE 260
421738,4,CORDOBA AV. 4667
222833,4,LAVALLE 1614
450324,4,ESMERALDA 961
158108,4,ROSARIO 890
278973,4,ALLENDE 2205
424308,4,VIDT 1995
910140,4,CHICLANA AV. 3528
410681,4,CABILDO AV. 1690
336795,4,CABILDO AV. 2755
279450,4,ALVAREZ JONTE AV. 4873
450287,4,ESMERALDA 899
221293,4,CARABELAS 306
