solicitud,domicilio,partida_matriz,grupo_pan,rubros_en_la_habilitacion,giro_ajeno,giro_ajeno_detectado
344462,SAN MARTIN AV. 3153,242734,elaboracion,4,si,COM.MIN.GOLOSINAS ENVASADAS (KIOSCO) Y TODO LO COMPRENDIDO EN LA ORD.33.266
365823,"ALSINA, ADOLFO 999",218914,elaboracion,10,si,COM.MIN.GOLOSINAS ENVASADAS (KIOSCO) Y TODO LO COMPRENDIDO EN LA ORD.33.266
370833,CAMPANA 2995,266250,elaboracion,4,si,"COM.MIN.DE ARTEFAC. DE ILUMINA- CION Y DEL HOGAR, BAZAR, PLATE RIA,CRISTALERIA"
382644,MEDRANO 1697,424651,elaboracion,3,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
392804,JUNIN 1487,442058,elaboracion,5,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
393756,"DIAZ, CNEL. AV. 1723",444421,elaboracion,3,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
380133,CARABOBO AV. 297,140710,elaboracion,5,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
380582,"PERON, EVA AV. 4813",90319,elaboracion,5,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
386097,"FRIAS, EUSTOQUIO, TTE. GENERAL 196",313001,elaboracion,3,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
386566,CARABOBO AV. 802,140538,elaboracion,4,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
387266,BASUALDO 2308,75644,elaboracion,6,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
389761,"DIAZ, CNEL. AV. 1641",444401,elaboracion,3,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
390409,ALVAREZ THOMAS AV. 2326,241385,elaboracion,4,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
391326,TRIUNVIRATO AV. 5487,347791,elaboracion,4,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
392011,SARMIENTO 4149,171400,elaboracion,4,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
394174,CURAPALIGUE 317,148516,elaboracion,3,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
395049,LARSEN 2501,364879,elaboracion,4,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
395081,"CARRIL, SALVADOR MARIA DEL AV. 2110",313084,elaboracion,4,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
395191,PUEYRREDON AV. 1229,441139,elaboracion,4,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
396893,"ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV. 668",218694,elaboracion,4,si,"Local de venta de productos alimenticios y/o bebidas (excluido feria, mercado, s"
