fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F02,f02_habilitaciones_aprobadas_2015_2018.csv,241566,226776,,Fabricación de hornos; hogares y quemadores,,fabricacion_de_hornos,no_gastronomico,0.2,Fuera del alcance decidido: fabricacion_de_hornos,GARMENDIA AV. 4725,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,223039,229810/1,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,"PERON, JUAN DOMINGO, TTE. GENERAL 1701",,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,220571,232159,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,TUCUMAN 555,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,157847,234213,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,SAN JOSE DE CALASANZ 710,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,223511,234326/3,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,CORRIENTES AV. 1522,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,413358,234544,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"GARCIA, TEODORO 1844",,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,217612,234749,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,MORENO 1465,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,220602,234993,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,SAN MARTIN 702,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,220602,234993,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,SAN MARTIN 702,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,220602,234993,,CONFITERIA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,SAN MARTIN 702,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,222509,235060/1,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,CORRIENTES AV. 1555,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
