fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F02,f02_habilitaciones_aprobadas_2015_2018.csv,193000,235204/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"YRIGOYEN, HIPOLITO 2882",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,368227,235444/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"ARTIGAS, JOSE GERVASIO, GRAL. 5224",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,110016,235596/1,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,DEFENSA 1444,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,27168,235649,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,HOMERO 1450,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,27168,235649,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,HOMERO 1450,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,910140,235837,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,CHICLANA AV. 3528,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,910140,235837,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,CHICLANA AV. 3528,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,206471,235845/9,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,CORRIENTES AV. 2308,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,339189,235940/1,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,ARRIBEÑOS 3692,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,228781,236062/1,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,"GALLARDO, ANGEL AV. 1091",,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,195503,236063/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,24 DE NOVIEMBRE 108,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,440743,236103/1,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,"URIBURU JOSE E., Pres. 1092",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,220958,236105,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,MAIPU 608,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,148856,236372/3,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,CURAPALIGUE 443,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,69484,236525,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,GUAMINI 4936,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,66389,236526,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,MURGUIONDO 4076,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,69735,236527,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,"CHILAVERT, MARTINIANO, CORONEL 6622",,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,270024,236577/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,MOSCONI GENERAL AV. 3446,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,350828,236588,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,BAUNESS 2095,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,212501,236721/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"GARAY, JUAN DE AV. 1253",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,88595,236783/2,,Elaboración de productos de panadería n.c.p.,,elaboracion_panaderia_ncp,elaboracion_ncp,0.9,Rubro de nucleo: elaboracion_panaderia_ncp,LARRAZABAL 3543,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,240854,236803,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,DE LOS INCAS AV. 4225,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,374870,236814,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,OLAZABAL 3272,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,376796,236950/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,DEL LIBERTADOR AV. 6073,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,263628,237007,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,ALVAREZ JONTE AV. 3293,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,295899,237033/2,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,"BEIRO, FRANCISCO AV. 5384",,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,12485,237063/3,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,CUZCO 209,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,100179,237099,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,MATHEU 1792,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,100179,237099,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,MATHEU 1792,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,230092,237174/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"REPETTO, NICOLAS, DR. 1439",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,143847,237320/5,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,VARELA AV. 791,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,223686,237328/29,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,TALCAHUANO 392,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,218354,237509,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,MORENO 1794,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,410681,237519/2,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,CABILDO AV. 1690,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,72692,237751/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,RIVADAVIA AV. 9383,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,145321,237886,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,SAN PEDRITO AV. 395,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,178569,237893/2,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,RIO DE JANEIRO 106,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,140617,237909/1,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,"FALCON, RAMON L.,CNEL. 1975",,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
