barrio,comuna,cantidad,area_km2,densidad_por_km2
Monserrat,1,43,2.199,19.5577
Almagro,5,59,4.051,14.5652
San Nicolas,1,32,2.289,13.9799
Balvanera,3,59,4.342,13.5873
Villa Crespo,15,42,3.616,11.6151
Boedo,5,29,2.61,11.1117
Velez Sarsfield,10,25,2.401,10.4144
Caballito,6,68,6.851,9.9255
Recoleta,2,58,6.433,9.0154
San Telmo,1,11,1.232,8.9266
Villa Urquiza,12,44,5.449,8.0748
Villa Del Parque,11,27,3.4,7.9421
Villa Gral. Mitre,11,17,2.162,7.8621
Monte Castro,10,20,2.627,7.6119
Constitucion,1,16,2.102,7.6118
Villa Real,10,10,1.334,7.4954
Parque Chacabuco,7,28,3.832,7.3067
Flores,7,62,8.591,7.217
Colegiales,13,16,2.29,6.9876
Belgrano,13,55,8.06,6.8238
Villa Luro,10,17,2.567,6.6227
Villa Ortuzar,15,12,1.854,6.4732
San Cristobal,3,13,2.044,6.361
Liniers,9,27,4.374,6.1722
Villa Santa Rita,11,13,2.154,6.0361
Floresta,10,14,2.321,6.0328
Chacarita,15,18,3.116,5.7772
Villa Pueyrredon,12,19,3.303,5.7519
Palermo,14,90,15.923,5.6523
Parque Patricios,4,21,3.743,5.6098
Paternal,15,12,2.23,5.3816
Nueva Pompeya,4,23,4.953,4.6434
Villa Devoto,11,29,6.404,4.5281
Versalles,10,6,1.407,4.2649
Retiro,1,19,4.514,4.2088
Parque Avellaneda,9,19,4.733,4.0146
Mataderos,9,27,7.398,3.6495
Parque Chas,15,4,1.385,2.8872
Saavedra,12,15,5.539,2.7082
Nuñez,13,12,4.497,2.6686
Villa Lugano,8,23,9.296,2.4741
La Boca,4,12,5.037,2.3821
Agronomia,15,5,2.122,2.3561
Coghlan,12,3,1.28,2.3438
Barracas,4,17,7.955,2.137
Villa Riachuelo,8,6,4.24,1.4151
Villa Soldati,8,5,8.691,0.5753
Puerto Madero,1,1,5.043,0.1983
