periodo_habilitacion,universo,cantidad_establecimientos,nota
2015,nucleo,92,habilitaciones AGC; NO aperturas netas ni locales activos
2016,nucleo,263,habilitaciones AGC; NO aperturas netas ni locales activos
2017,nucleo,207,habilitaciones AGC; NO aperturas netas ni locales activos
2018,nucleo,287,habilitaciones AGC; NO aperturas netas ni locales activos
2019,nucleo,110,habilitaciones AGC; NO aperturas netas ni locales activos
2020,nucleo,53,habilitaciones AGC; NO aperturas netas ni locales activos
2021,nucleo,130,habilitaciones AGC; NO aperturas netas ni locales activos
2022,nucleo,86,habilitaciones AGC; NO aperturas netas ni locales activos
2023,nucleo,8,habilitaciones AGC; NO aperturas netas ni locales activos
2024,nucleo,35,habilitaciones AGC; NO aperturas netas ni locales activos
2014,punto_coccion,1,habilitaciones AGC; NO aperturas netas ni locales activos
2015,punto_coccion,65,habilitaciones AGC; NO aperturas netas ni locales activos
2016,punto_coccion,222,habilitaciones AGC; NO aperturas netas ni locales activos
2017,punto_coccion,162,habilitaciones AGC; NO aperturas netas ni locales activos
2018,punto_coccion,196,habilitaciones AGC; NO aperturas netas ni locales activos
2019,punto_coccion,117,habilitaciones AGC; NO aperturas netas ni locales activos
2020,punto_coccion,81,habilitaciones AGC; NO aperturas netas ni locales activos
2021,punto_coccion,191,habilitaciones AGC; NO aperturas netas ni locales activos
2022,punto_coccion,117,habilitaciones AGC; NO aperturas netas ni locales activos
2023,punto_coccion,10,habilitaciones AGC; NO aperturas netas ni locales activos
2024,punto_coccion,50,habilitaciones AGC; NO aperturas netas ni locales activos
