fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones,fuentes_que_lo_detectan,cantidad_fuentes,es_duplicado_probable,grupo_duplicado,confianza_match,requiere_revision_manual,registros_agrupados,comuna_efectiva,barrio_efectivo,nivel_universo
F02,f02_habilitaciones_aprobadas_2015_2018.csv,193000,235204/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"YRIGOYEN, HIPOLITO 2882",,,-34.611384,-58.40699,cache_usig_exacta_sin_control_comuna,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0001,unica,no,1,3,Balvanera,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,225606,235248,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,HUMBOLDT 537,,,-34.594016,-58.446628,cache_usig_exacta_sin_control_comuna,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0002,unica,si,1,15,Villa Crespo,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,368227,235444/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"ARTIGAS, JOSE GERVASIO, GRAL. 5224",,,-34.579191,-58.501617,cache_usig_exacta_sin_control_comuna,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0003,unica,no,1,12,Villa Pueyrredon,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,210103,235559/2,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,INDEPENDENCIA AV. 354,,,-34.617272,-58.370804,cache_usig_exacta_sin_control_comuna,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0004,unica,si,1,1,San Telmo,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,110016,235596/1,Bamo S.R.L,Elaboración de productos de panadería con venta directa al público.,Los locales consignados como 3  Y 13 elaboración carece de ventilación reglamentaria art 4.6.4.4CE,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,DEFENSA 1444,1,,-34.624755,-58.371122,cache_usig_exacta,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0005,media,no,30,1,San Telmo,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,27168,235649,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,HOMERO 1450,,,-34.651252,-58.484465,cache_usig_exacta_sin_control_comuna,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0006,media,no,3,9,Parque Avellaneda,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,195416,235778/6,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,LINIERS VIRREY 573,,,-34.617825,-58.414202,cache_usig_exacta_sin_control_comuna,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0007,unica,si,1,5,Almagro,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,910140,235837,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,CHICLANA AV. 3528,,,-34.636258,-58.41399,cache_usig_exacta_sin_control_comuna,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0008,media,no,3,5,Boedo,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,206471,235845/9,Lolito  S.A.,Elaboración de productos de panadería con venta directa al público.,"1-EN EL ARCHIVO QUE DEJÓ, EL PLANO NO SE VISUALIZA.-",elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,CORRIENTES AV. 2308,3,,-34.604722,-58.399632,cache_usig_exacta,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0009,media,no,6,3,Balvanera,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,339189,235940/1,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,ARRIBEÑOS 3692,,,-34.544373,-58.461064,cache_usig_exacta_sin_control_comuna,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0010,media,no,2,13,Nuñez,A
