barrio,comuna,cantidad,area_km2,densidad_por_km2,panaderias_por_10000_hab
Agronomia,15,7,2.122,3.2985,
Almagro,5,88,4.051,21.7244,
Balvanera,3,95,4.342,21.8779,
Barracas,4,30,7.955,3.7711,
Belgrano,13,86,8.06,10.67,
Boedo,5,35,2.61,13.4107,
Caballito,6,99,6.851,14.4504,
Chacarita,15,25,3.116,8.0239,
Coghlan,12,5,1.28,3.9064,
Colegiales,13,26,2.29,11.3548,
Constitucion,1,25,2.102,11.8935,
Flores,7,83,8.591,9.6615,
Floresta,10,18,2.321,7.7565,
La Boca,4,15,5.037,2.9777,
Liniers,9,45,4.374,10.2871,
Mataderos,9,35,7.398,4.7309,
Monserrat,1,61,2.199,27.7446,
Monte Castro,10,26,2.627,9.8954,
Nueva Pompeya,4,24,4.953,4.8453,
Nuñez,13,19,4.497,4.2254,
Palermo,14,129,15.923,8.1017,
Parque Avellaneda,9,24,4.733,5.0711,
Parque Chacabuco,7,35,3.832,9.1333,
Parque Chas,15,9,1.385,6.4963,
Parque Patricios,4,25,3.743,6.6783,
Paternal,15,18,2.23,8.0724,
Puerto Madero,1,1,5.043,0.1983,
Recoleta,2,90,6.433,13.9895,
Retiro,1,27,4.514,5.9809,
Saavedra,12,19,5.539,3.4304,
San Cristobal,3,16,2.044,7.8289,
San Nicolas,1,58,2.289,25.3385,
San Telmo,1,15,1.232,12.1727,
Velez Sarsfield,10,29,2.401,12.0807,
Versalles,10,9,1.407,6.3973,
Villa Crespo,15,71,3.616,19.6351,
Villa Del Parque,11,38,3.4,11.1778,
Villa Devoto,11,36,6.404,5.6211,
Villa Gral. Mitre,11,22,2.162,10.1745,
Villa Lugano,8,23,9.296,2.4741,
Villa Luro,10,23,2.567,8.9601,
Villa Ortuzar,15,16,1.854,8.6309,
Villa Pueyrredon,12,23,3.303,6.9629,
Villa Real,10,11,1.334,8.245,
Villa Riachuelo,8,8,4.24,1.8869,
Villa Santa Rita,11,19,2.154,8.8221,
Villa Soldati,8,8,8.691,0.9205,
Villa Urquiza,12,57,5.449,10.4605,
