pagina_v2,seccion,titulo,referencias,tipo_pagina,fuente_publica_id,qa_especifico
1,APERTURA,Portada institucional,—,PORTADA,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
2,APERTURA,"Alcance, presentación y resumen ejecutivo",—,APERTURA_COMBINADA,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
3,APERTURA,Índice único navegable,—,INDICE,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
4,APERTURA,Cómo leer y naturaleza de las cifras,—,LECTURA,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
5,APERTURA,Tipologías y metodología,—,TIPOLOGIAS,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
6,APERTURA,Mapa general de la Ciudad,—,MAPA_GENERAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
7,REFERENCIAS,R01 Palermo - ficha editorial,R01,FICHA_COMPLETA,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
8,REFERENCIAS,R01 Palermo - mapa principal,R01,MAPA_PRINCIPAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
9,COMPLEMENTARIAS,Complementaria R01 - Las Cañitas,R01,COMPLEMENTARIA,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
10,REFERENCIAS,R02 Avenida Corrientes y R03 San Telmo - fichas,R02;R03,FICHA_DOBLE,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
11,REFERENCIAS,R02 Avenida Corrientes - mapa principal,R02,MAPA_PRINCIPAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
12,REFERENCIAS,R03 San Telmo - mapa principal,R03,MAPA_PRINCIPAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
13,COMPLEMENTARIAS,Corrientes-Abasto contextual,R02;R13,COMPLEMENTARIA,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
14,REFERENCIAS,R04 Puerto Madero y R06 Recoleta - fichas,R04;R06,FICHA_DOBLE,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
15,REFERENCIAS,R04 Puerto Madero - mapa principal,R04,MAPA_PRINCIPAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
16,REFERENCIAS,R06 Recoleta - mapa principal,R06,MAPA_PRINCIPAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
17,REFERENCIAS,R05 Belgrano - ficha editorial,R05,FICHA_COMPLETA,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
18,REFERENCIAS,R05 Belgrano - mapa principal,R05,MAPA_PRINCIPAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
19,REFERENCIAS,R07 Costanera Norte - ficha editorial,R07,FICHA_COMPLETA,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
20,REFERENCIAS,R07 Costanera Norte - mapa principal,R07,MAPA_PRINCIPAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
21,REFERENCIAS,R08 Villa Crespo - ficha editorial,R08,FICHA_COMPLETA,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
22,REFERENCIAS,R08 Villa Crespo - mapa principal,R08,MAPA_PRINCIPAL,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
23,COMPLEMENTARIAS,Complementaria R08 - Saturaciones residuales,R08,COMPLEMENTARIA,SRC-FICHAS-22;SRC-CARTO-22,asset;escala;pie;enlaces
24,REFERENCIAS,R09 Chacarita y R10 Caballito - fichas,R09;R10,FICHA_DOBLE,SRC-FICHAS-22;SRC-CARTO-22,texto;enlaces;marcadores
