pagina,seccion,titulo,zonas,tipo_pagina,pagina_equivalente_tecnica
1,APERTURA,Portada institucional,—,PORTADA,
2,APERTURA,Resumen ejecutivo,—,RESUMEN,
3,APERTURA,Índice,—,INDICE,
4,APERTURA,Cómo leer el Atlas,—,LECTURA,
5,APERTURA,Las cinco familias territoriales,—,FAMILIAS,
6,APERTURA,Mapa general de la Ciudad,—,MAPA_GENERAL,
7,ZONAS,R01 y R02 - fichas,R01;R02,FICHA_DOBLE,7
8,ZONAS,R01 - mapa,R01,MAPA_PRINCIPAL,8
9,AMPLIACIONES,R01 - Palermo Soho,R01,AMPLIACION,
10,AMPLIACIONES,R01 - Palermo Hollywood,R01,AMPLIACION,
11,AMPLIACIONES,R01 - Las Cañitas,R01,AMPLIACION,9
12,ZONAS,R02 - mapa,R02,MAPA_PRINCIPAL,11
13,AMPLIACIONES,R02 - Corrientes y Abasto,R02;R13,AMPLIACION,13
14,ZONAS,R03 y R04 - fichas,R03;R04,FICHA_DOBLE,10
15,ZONAS,R03 - mapa,R03,MAPA_PRINCIPAL,12
16,ZONAS,R04 - mapa,R04,MAPA_PRINCIPAL,15
17,ZONAS,R05 y R06 - fichas,R05;R06,FICHA_DOBLE,17
18,ZONAS,R05 - mapa,R05,MAPA_PRINCIPAL,18
19,ZONAS,R06 - mapa,R06,MAPA_PRINCIPAL,16
20,ZONAS,R07 y R08 - fichas,R07;R08,FICHA_DOBLE,19
21,ZONAS,R07 - mapa,R07,MAPA_PRINCIPAL,20
22,ZONAS,R08 - mapa,R08,MAPA_PRINCIPAL,22
23,AMPLIACIONES,R08 - Dónde se cortó el relevamiento,R08,AMPLIACION,23
24,ZONAS,R09 y R10 - fichas,R09;R10,FICHA_DOBLE,24
25,ZONAS,R09 - mapa,R09,MAPA_PRINCIPAL,25
26,ZONAS,R10 - mapa,R10,MAPA_PRINCIPAL,26
27,ZONAS,R11 y R12 - fichas,R11;R12,FICHA_DOBLE,27
28,ZONAS,R11 - mapa,R11,MAPA_PRINCIPAL,28
29,ZONAS,R12 - mapa,R12,MAPA_PRINCIPAL,31
30,AMPLIACIONES,R12 - Las áreas del Centro,R12,AMPLIACION,32
31,ZONAS,R13 y R14 - fichas,R13;R14,FICHA_DOBLE,27
32,ZONAS,R13 - mapa,R13,MAPA_PRINCIPAL,29
33,ZONAS,R14 - mapa,R14,MAPA_PRINCIPAL,34
34,ZONAS,R15 y R16 - fichas,R15;R16,FICHA_DOBLE,33
35,ZONAS,R15 - mapa,R15,MAPA_PRINCIPAL,35
36,AMPLIACIONES,R15 - El núcleo de Devoto,R15,AMPLIACION,36
37,ZONAS,R16 - mapa,R16,MAPA_PRINCIPAL,38
38,ZONAS,R17 y R18 - fichas,R17;R18,FICHA_DOBLE,37
39,ZONAS,R17 - mapa,R17,MAPA_PRINCIPAL,39
40,ZONAS,R18 - mapa,R18,MAPA_PRINCIPAL,41
41,ZONAS,R19 y R20 - fichas,R19;R20,FICHA_DOBLE,44
42,ZONAS,R19 - mapa,R19,MAPA_PRINCIPAL,45
43,AMPLIACIONES,R19 - Los dos tramos de Lacroze,R19,AMPLIACION,46
44,ZONAS,R20 - mapa,R20,MAPA_PRINCIPAL,42
45,AMPLIACIONES,R20 - García del Río y Parque Saavedra,R20,AMPLIACION,43
46,ZONAS,R21 y R22 - fichas,R21;R22,FICHA_DOBLE,47
47,ZONAS,R21 - mapa,R21,MAPA_PRINCIPAL,48
48,ZONAS,R22 - mapa,R22,MAPA_PRINCIPAL,50
49,ANEXOS,Las 22 zonas de un vistazo (1 de 2),—,ANEXO_MATRIZ,
50,ANEXOS,Las 22 zonas de un vistazo (2 de 2),—,ANEXO_MATRIZ,
51,ANEXOS,Cómo se hizo este Atlas y qué no dice,—,ANEXO_METODO,
