referencia_id,pagina,tipo,escala_cuerpo,aire_pt
R01,7,completa,1.4,38.0
R02,10,doble,1.16,7.0
R03,10,doble,1.16,7.0
R04,14,doble,1.16,7.0
R06,14,doble,1.16,2.47
R05,17,completa,1.4,12.84
R07,19,completa,1.4,38.0
R08,21,completa,1.4,38.0
R09,24,doble,1.16,3.41
R10,24,doble,1.1,0.94
R11,27,doble,1.16,7.0
R13,27,doble,1.16,6.92
R12,30,completa,1.38,0.49
R14,33,doble,1.16,7.0
R15,33,doble,1.16,7.0
R16,37,doble,1.16,7.0
R17,37,doble,1.16,7.0
R18,40,doble,1.16,7.0
R20,40,doble,1.06,0.47
R19,44,completa,1.38,12.26
R21,47,completa,1.4,12.25
R22,49,completa,1.4,19.72
