pagina,texto,pagina_declarada,pagina_del_enlace,resultado,motivo
7,IR AL MAPA · p. 8,8,8,PASS,
8,VOLVER A FICHA · p. 7,7,7,PASS,
10,IR AL MAPA · p. 11,11,11,PASS,
10,IR AL MAPA · p. 12,12,12,PASS,
11,VOLVER A FICHA · p. 10,10,10,PASS,
12,VOLVER A FICHA · p. 10,10,10,PASS,
14,IR AL MAPA · p. 15,15,15,PASS,
14,IR AL MAPA · p. 16,16,16,PASS,
15,VOLVER A FICHA · p. 14,14,14,PASS,
16,VOLVER A FICHA · p. 14,14,14,PASS,
17,IR AL MAPA · p. 18,18,18,PASS,
18,VOLVER A FICHA · p. 17,17,17,PASS,
19,IR AL MAPA · p. 20,20,20,PASS,
20,VOLVER A FICHA · p. 19,19,19,PASS,
21,IR AL MAPA · p. 22,22,22,PASS,
22,VOLVER A FICHA · p. 21,21,21,PASS,
24,IR AL MAPA · p. 25,25,25,PASS,
24,IR AL MAPA · p. 26,26,26,PASS,
25,VOLVER A FICHA · p. 24,24,24,PASS,
26,VOLVER A FICHA · p. 24,24,24,PASS,
27,IR AL MAPA · p. 28,28,28,PASS,
27,IR AL MAPA · p. 29,29,29,PASS,
28,VOLVER A FICHA · p. 27,27,27,PASS,
29,VOLVER A FICHA · p. 27,27,27,PASS,
30,IR AL MAPA · p. 31,31,31,PASS,
31,VOLVER A FICHA · p. 30,30,30,PASS,
33,IR AL MAPA · p. 34,34,34,PASS,
33,IR AL MAPA · p. 35,35,35,PASS,
34,VOLVER A FICHA · p. 33,33,33,PASS,
35,VOLVER A FICHA · p. 33,33,33,PASS,
37,IR AL MAPA · p. 38,38,38,PASS,
37,IR AL MAPA · p. 39,39,39,PASS,
38,VOLVER A FICHA · p. 37,37,37,PASS,
39,VOLVER A FICHA · p. 37,37,37,PASS,
40,IR AL MAPA · p. 41,41,41,PASS,
40,IR AL MAPA · p. 42,42,42,PASS,
41,VOLVER A FICHA · p. 40,40,40,PASS,
42,VOLVER A FICHA · p. 40,40,40,PASS,
44,IR AL MAPA · p. 45,45,45,PASS,
45,VOLVER A FICHA · p. 44,44,44,PASS,
47,IR AL MAPA · p. 48,48,48,PASS,
48,VOLVER A FICHA · p. 47,47,47,PASS,
49,IR AL MAPA · p. 50,50,50,PASS,
50,VOLVER A FICHA · p. 49,49,49,PASS,
