pagina,referencia_id,mapa,partes_nombradas_en_el_pie,partes_rotuladas_en_el_mapa,resultado,faltan
8,R01,R01_PALERMO.png,Palermo Soho | Palermo Hollywood | Las Cañitas,Las Cañitas | Palermo Hollywood | Palermo Soho,PASS,
9,R01,R01_DETALLE_PALERMO_SOHO.png,Palermo Soho,Palermo Hollywood | Palermo Soho,PASS,
10,R01,R01_DETALLE_PALERMO_HOLLYWOOD.png,Palermo Hollywood,Palermo Hollywood | Palermo Soho,PASS,
11,R01,R01_DETALLE_LAS_CANITAS.png,Las Cañitas,Las Cañitas,PASS,
12,R02,R02_AVENIDA_CORRIENTES.png,ninguna,Avenida Corrientes,PASS,
13,R02,R02_R13_CONTEXTO_CORRIENTES_ABASTO.png,ninguna,Abasto | Avenida Corrientes,PASS,
15,R03,R03_SAN_TELMO.png,ninguna,San Telmo,PASS,
16,R04,R04_PUERTO_MADERO.png,Docks | Dársena Sur,Docks | Dársena Sur,PASS,
18,R05,R05_BELGRANO.png,Barrio Chino–Belgrano C | Cabildo–Juramento | Belgrano R,Barrio Chino–Belgrano C | Belgrano R | Cabildo–Juramento,PASS,
19,R06,R06_RECOLETA.png,ninguna,Recoleta,PASS,
21,R07,R07_COSTANERA_NORTE.png,ninguna,Tramo 1 | Tramo 2 | Tramo 3 | Tramo 4,PASS,
22,R08,R08_VILLA_CRESPO.png,ninguna,Villa Crespo,PASS,
23,R08,R08_DETALLE_SATURACIONES_RESIDUALES.png,ninguna,Villa Crespo,PASS,
25,R09,R09_CHACARITA.png,ninguna,Corredor Newbery | Núcleo Dorrego,PASS,
26,R10,R10_CABALLITO.png,Pedro Goyena | Primera Junta–Mercado del Progreso,Pedro Goyena | Primera Junta–Mercado del Progreso,PASS,
28,R11,R11_BOULEVARD_CASEROS.png,ninguna,Boulevard Caseros,PASS,
29,R12,R12_CENTRO_MICROCENTRO_SEGMENTADO.png,ninguna,Avenida de Mayo | Microcentro financiero | Plaza de Mayo–Monserrat | Retiro central | Tribunales,PASS,
30,R12,R12_DETALLE_SUBUNIDADES_SATURACION.png,ninguna,Avenida de Mayo | Microcentro financiero | Plaza de Mayo–Monserrat | Retiro central | Tribunales,PASS,
32,R13,R13_ABASTO.png,Abasto,Abasto,PASS,
33,R14,R14_AVENIDA_BOEDO.png,ninguna,Avenida Boedo,PASS,
35,R15,R15_DEVOTO.png,ninguna,Devoto,PASS,
36,R15,R15_DETALLE_NUCLEO_PERIFERIA.png,ninguna,Devoto,PASS,
37,R16,R16_DONADO_HOLMBERG.png,ninguna,Donado–Holmberg,PASS,
39,R17,R17_VILLA_URQUIZA.png,ninguna,Villa Urquiza,PASS,
40,R18,R18_ESMERALDA_PARAGUAY.png,ninguna,Esmeralda–Paraguay,PASS,
42,R19,R19_FEDERICO_LACROZE_POR_TRAMOS.png,ninguna,Federico Lacroze · Cabildo–Álvarez Thomas | Federico Lacroze · Libertador–Cabildo,PASS,
43,R19,R19_DETALLE_LACROZE_CABILDO.png,ninguna,Federico Lacroze · Cabildo–Álvarez Thomas | Federico Lacroze · Libertador–Cabildo,PASS,
44,R20,R20_GARCIA_DEL_RIO.png,ninguna,García del Río,PASS,
45,R20,R20_DETALLE_CABILDO_PARQUE_SAAVEDRA.png,ninguna,García del Río,PASS,
47,R21,R21_LA_PATERNAL.png,ninguna,Rojas–Honorio Pueyrredón / Belaustegui | Sector oeste de La Paternal,PASS,
48,R22,R22_VILLA_PUEYRREDON.png,ninguna,Villa Pueyrredón,PASS,
