insumo,ruta_relativa,sha256_pre,sha256_post,resultado
atlas_v1_pdf,outputs/polos_gastro/INFORMEFINAL/codex/atlas_22_v1/ATLAS_REFERENCIAS_GASTRONOMICAS_CABA_DGDGAS_V1_REVISION.pdf,aa9c6db209d6b5e7f91c0b4a2cc2b8c8a7a8a744b5891dfae732855aadc0005e,aa9c6db209d6b5e7f91c0b4a2cc2b8c8a7a8a744b5891dfae732855aadc0005e,PASS
atlas_v1_zip,outputs/polos_gastro/INFORMEFINAL/codex/atlas_22_v1/REVISION_CODEX_ATLAS_22_V1.zip,66d7df749071851696eb4989e3d780266aca2f8473aad5616a47bdc57b2ba4c3,66d7df749071851696eb4989e3d780266aca2f8473aad5616a47bdc57b2ba4c3,PASS
auditoria_v1,outputs/polos_gastro/INFORMEFINAL/claude/atlas_22_auditoria_independiente_v1/AUDITORIA_INDEPENDIENTE_ATLAS_22_V1.md,2af81141016b3db06cd7ed8405a7556e3752765b4931a244c0f873c391f70b06,2af81141016b3db06cd7ed8405a7556e3752765b4931a244c0f873c391f70b06,PASS
cierre_v1_1,outputs/polos_gastro/INFORMEFINAL/grok/cierre_atlas_22_v1_1/paquete/REVISION_GROK_CIERRE_ATLAS_22_V1_1.zip,919f17b7185da7f3418bb56c9067bad574dc9e7808d5fdfa1beaf94ad1535d1a,919f17b7185da7f3418bb56c9067bad574dc9e7808d5fdfa1beaf94ad1535d1a,PASS
cartografia_22,outputs/polos_gastro/INFORMEFINAL/codex/cartografia_22_correccion_visual_v1/REVISION_CARTOGRAFIA_22_CORRECCION_VISUAL_V1.zip,136625badf08242d97ec99f952527329f9db6683608f66dbcae9f00c4dcf0918,136625badf08242d97ec99f952527329f9db6683608f66dbcae9f00c4dcf0918,PASS
fichas_22,outputs/polos_gastro/INFORMEFINAL/codex/fichas_22_v1/paquete_revision/REVISION_CODEX_FICHAS_22_V1.zip,5c9906b293c0483d3719373fc7e0ccbc173d5eea462124fa1cd0ad748966a26f,5c9906b293c0483d3719373fc7e0ccbc173d5eea462124fa1cd0ad748966a26f,PASS
matriz_maestra,outputs/polos_gastro/INFORMEFINAL/MATRIZ_MAESTRA_22_ZONAS.csv,c5aa498947d91cedb063c1d9b1873120233c1e760a9a73bbe532e9fd0df0db3c,c5aa498947d91cedb063c1d9b1873120233c1e760a9a73bbe532e9fd0df0db3c,PASS
estado_global,outputs/polos_gastro/INFORMEFINAL/ESTADO_GENERAL_INFORMEFINAL.md,81d35fe328adfdebb6678ccc11d04e7ac84f4a4026ce4de4087a9788a72f1bfe,81d35fe328adfdebb6678ccc11d04e7ac84f4a4026ce4de4087a9788a72f1bfe,PASS
decisiones_globales,outputs/polos_gastro/INFORMEFINAL/DECISIONES_CERRADAS_Y_PENDIENTES.md,10b89cd9aba714261f399233655f7f97968022068fdad4eb8b3198b06b7b25d8,10b89cd9aba714261f399233655f7f97968022068fdad4eb8b3198b06b7b25d8,PASS
indice_global,outputs/polos_gastro/INFORMEFINAL/INDICE_MAESTRO_ARTEFACTOS.csv,b56cbcf8d78875098db62d8df926953e9e20962bf885bd4bb3fe504a8cbd75db,b56cbcf8d78875098db62d8df926953e9e20962bf885bd4bb3fe504a8cbd75db,PASS
manifest_global,outputs/polos_gastro/INFORMEFINAL/MANIFEST_INFORMEFINAL.csv,4f4f20a29b623cf473ac3a0f4b6b2fd9762fbb58a7f7ca40af91845912018417,4f4f20a29b623cf473ac3a0f4b6b2fd9762fbb58a7f7ca40af91845912018417,PASS
readme_global,outputs/polos_gastro/INFORMEFINAL/README_INFORMEFINAL.md,399e0a39ac5e7c56c77d1ff7aa9cdef75f59696c4aacc0084010254b615b5c19,399e0a39ac5e7c56c77d1ff7aa9cdef75f59696c4aacc0084010254b615b5c19,PASS
acta_tanda1,outputs/polos_gastro/INFORMEFINAL/grok/integracion_final_tanda1_v4_4/integracion/ACTA_DECISIONES_TERRITORIALES_DIEGO_TANDA1_V4_4.md,3f62455ef8cf725d516734c5bc34d5b4e86ad10a0839fb2b1d0a74114314fe83,3f62455ef8cf725d516734c5bc34d5b4e86ad10a0839fb2b1d0a74114314fe83,PASS
acta_tanda2,outputs/polos_gastro/INFORMEFINAL/grok/registro_decisiones_diego_tanda2_y_gates_ab_v1/ACTA_DECISIONES_DIEGO_TANDA2.md,ff0dd65de591d017c2f71c0362bb02bd06a5d7fc4375d02c2e57f7195c4afe9e,ff0dd65de591d017c2f71c0362bb02bd06a5d7fc4375d02c2e57f7195c4afe9e,PASS
acta_grupo_a,outputs/polos_gastro/INFORMEFINAL/grok/integracion_final_cierre_grupo_a_v1/ACTA_CIERRE_Y_CONGELAMIENTO_GRUPO_A.md,9af20fbddbfeef47e62d4e9c05c09729f83100c7b5581eb6a0903d73b26533db,9af20fbddbfeef47e62d4e9c05c09729f83100c7b5581eb6a0903d73b26533db,PASS
