referencia_a,referencia_b,solape_m2_sin_recorte,solape_m2_final,relacion_declarada,resultado,motivo_exencion
R01,R08,345387.7,0.0,INDEPENDIENTE,PASS,
R01,R09,195839.7,0.0,INDEPENDIENTE,PASS,
R01,R19,31671.5,0.0,INDEPENDIENTE,PASS,
R02,R12,231189.5,217242.3,CO-LOCALIZADA_DECLARADA,EXENTO_DECLARADO,eje que atraviesa un area; el corpus no declara discontinuidad del corredor de Av. Corrientes y registra la co-localizacion en GA-R12-CS08-CONTROL (R12;R02)
R03,R04,113430.3,0.0,INDEPENDIENTE,PASS,
R03,R11,4606.0,0.0,INDEPENDIENTE,PASS,
R04,R11,130970.3,0.0,INDEPENDIENTE,PASS,
R04,R12,33011.3,0.0,INDEPENDIENTE,PASS,
R08,R09,295326.5,0.0,INDEPENDIENTE,PASS,
R08,R21,425123.2,0.0,INDEPENDIENTE,PASS,
R09,R19,135692.4,0.0,INDEPENDIENTE,PASS,
R12,R18,325202.1,311715.8,CO-LOCALIZADA_DECLARADA,EXENTO_DECLARADO,"geometria compartida declarada: el corpus define una sola geometria (C-S07) con dos productos separados, R18 y R12"
R15,R22,10371.3,0.0,INDEPENDIENTE,PASS,
R16,R17,1261855.2,0.0,INDEPENDIENTE,PASS,
R17,R22,109328.6,0.0,INDEPENDIENTE,PASS,
