key_fuente,id_fuente,nombre,download_url,output_path,status,http_status,size_bytes,fecha_descarga,error,observaciones
F01,F01,Oferta y Establecimientos Gastronomicos,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos/resource/e66613ef-aaf4-44aa-b89c-638c431fef0e/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f01_oferta_establecimientos_gastronomicos.csv,OK,200,438717,2026-06-10T16:06:46,,Puede tener mojibake; no trae lat/lon; no trae fecha por registro; puede estar desactualizado.
F02_2015_2018,F02,Habilitaciones Aprobadas AGC 2015-2018,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas/resource/748176e8-298f-4bda-aa44-3ef4dc560c8c/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2015_2018.csv,OK,200,32881680,2026-06-10T16:06:48,,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F02_2019,F02,Habilitaciones Aprobadas AGC 2019,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas/resource/21343579-cf7e-4fb8-a3bc-8d41710cb077/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2019.csv,OK,200,5865760,2026-06-10T16:06:51,,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F02_2020,F02,Habilitaciones Aprobadas AGC 2020,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas/resource/dd6760a4-92e5-4c43-83f5-33181bac37d8/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2020.csv,OK,200,3762083,2026-06-10T16:06:53,,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F02_2021,F02,Habilitaciones Aprobadas AGC 2021,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas/resource/120a24f6-35f5-49b7-9db2-a03cf621cc36/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2021.csv,OK,200,27974706,2026-06-10T16:06:55,,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F02_2022,F02,Habilitaciones Aprobadas AGC 2022,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas/resource/ed26ea8a-b2dd-4543-a2bb-cd613c99b393/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2022.csv,OK,200,7945815,2026-06-10T16:06:58,,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F02_2023,F02,Habilitaciones Aprobadas AGC 2023,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas/resource/72be4960-7a64-4c31-9751-15155cadf327/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2023.csv,OK,200,1486642,2026-06-10T16:07:05,,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F02_2024,F02,Habilitaciones Aprobadas AGC 2024,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas/resource/af7cb21d-3c26-4227-8271-a898442bf99b/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2024.csv,OK,200,2495081,2026-06-10T16:07:07,,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F02_2025,F02,Habilitaciones Aprobadas AGC 2025,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas/resource/00cab09a-06fa-43d0-b000-e6b2364a3082/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2025.csv,OK,200,66925430,2026-06-10T16:07:08,,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F02_2026,F02,Habilitaciones Aprobadas AGC 2026,,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2026.csv,PENDING,,0,2026-06-10T16:07:14,download_url pendiente o no publicado,No publicado; no requerido para strict-real.
F03,F03,Ferias y Mercados,https://data.buenosaires.gob.ar/dataset/ferias-mercados/resource/juqdkmgo-1125-resource/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f03_ferias_mercados.csv,OK,200,363681,2026-06-10T16:07:14,,Geometria completa no disponible; GeoJSON separado representa solo FIAB.
F03_FERIAS,F03,Ferias,https://data.buenosaires.gob.ar/dataset/ferias-mercados/resource/juqdkmgo-1121-resource/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f03_ferias.csv,OK,200,7374,2026-06-10T16:07:15,,Recurso complementario; F03 combinado es el requerido para strict-real.
F03_MERCADOS,F03,Mercados,https://data.buenosaires.gob.ar/dataset/ferias-mercados/resource/juqdkmgo-1126-resource/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f03_mercados.csv,WARNING,200,621,2026-06-10T16:07:17,archivo sospechosamente chico (<1 KB),Recurso complementario; F03 combinado es el requerido para strict-real.
F03_FIAB_GEOJSON,F03,FIAB GeoJSON,https://data.buenosaires.gob.ar/dataset/ferias-mercados/resource/89d4e504-2fa8-4703-9c05-2471fa47cdfa/download,C:\proyectos\Gastronomia\DataGastro\data\raw\f03_fiab.geojson,OK,200,103011,2026-06-10T16:07:18,,Solo FIAB; no tratar como capa geografica completa de F03.
