barrio_normalizado,comuna_normalizada,cantidad_registros,cantidad_hojas,estado_barrio
Palermo,14,244,11,normalizado
Caballito,6,151,10,normalizado
Villa Crespo,15,93,9,normalizado
Belgrano,13,83,9,normalizado
San Nicolas,1,80,10,normalizado
Recoleta,2,72,11,normalizado
Villa Devoto,11,63,10,normalizado
Balvanera,3,55,9,normalizado
Flores,7,46,8,normalizado
Saavedra,12,42,7,normalizado
Nunez,13,32,7,normalizado
Villa Urquiza,12,29,10,normalizado
La Boca,4,28,7,normalizado
Mataderos,9,28,9,normalizado
Almagro,5,25,8,normalizado
Chacarita,15,24,6,normalizado
Retiro,1,23,8,normalizado
Puerto Madero,1,22,7,normalizado
San Telmo,1,20,6,normalizado
Colegiales,13,19,9,normalizado
Monserrat,1,16,4,normalizado
Barracas,4,15,4,normalizado
Parque Chacabuco,7,14,6,normalizado
Villa Ortuzar,15,14,7,normalizado
Boedo,5,14,7,normalizado
Villa Del Parque,11,13,6,normalizado
Parque Patricios,4,11,5,normalizado
Villa Lugano,8,11,6,normalizado
Floresta,10,10,7,normalizado
Liniers,9,9,5,normalizado
Villa Riachuelo,8,8,4,normalizado
Villa Real,10,8,4,normalizado
San Cristobal,3,8,5,normalizado
Villa Santa Rita,11,7,4,normalizado
Parque Chas,15,7,3,normalizado
Constitucion,1,6,3,normalizado
Nueva Pompeya,4,4,3,normalizado
Villa Gral. Mitre,11,4,2,normalizado
Villa Pueyrredon,12,4,4,normalizado
Parque Avellaneda,9,3,3,normalizado
Monte Castro,10,3,3,normalizado
Villa Luro,10,3,3,normalizado
Paternal,15,2,2,normalizado
Velez Sarsfield,10,2,2,normalizado
Coghlan,12,2,2,normalizado
Agronomia,15,1,1,normalizado
Versalles,10,1,1,normalizado
Villa Soldati,8,1,1,normalizado
