barrio,cantidad_registros,cantidad_hojas,nivel_sensibilidad,uso_recomendado
(sin_barrio),955,12,bajo (agregado sin PII),cobertura_territorial_interna
Palermo,227,11,bajo (agregado sin PII),cobertura_territorial_interna
Caballito,148,10,bajo (agregado sin PII),cobertura_territorial_interna
Belgrano,79,9,bajo (agregado sin PII),cobertura_territorial_interna
Villa Crespo,76,9,bajo (agregado sin PII),cobertura_territorial_interna
San Nicolas,64,9,bajo (agregado sin PII),cobertura_territorial_interna
Recoleta,61,11,bajo (agregado sin PII),cobertura_territorial_interna
Villa Devoto,56,10,bajo (agregado sin PII),cobertura_territorial_interna
Balvanera,51,9,bajo (agregado sin PII),cobertura_territorial_interna
Flores,44,8,bajo (agregado sin PII),cobertura_territorial_interna
Saavedra,41,7,bajo (agregado sin PII),cobertura_territorial_interna
Mataderos,28,9,bajo (agregado sin PII),cobertura_territorial_interna
Nuñez,27,7,bajo (agregado sin PII),cobertura_territorial_interna
Almagro,25,8,bajo (agregado sin PII),cobertura_territorial_interna
Villa Urquiza,25,10,bajo (agregado sin PII),cobertura_territorial_interna
Chacarita,24,6,bajo (agregado sin PII),cobertura_territorial_interna
Puerto Madero,22,7,bajo (agregado sin PII),cobertura_territorial_interna
Retiro,22,8,bajo (agregado sin PII),cobertura_territorial_interna
Boca,21,5,bajo (agregado sin PII),cobertura_territorial_interna
Colegiales,18,9,bajo (agregado sin PII),cobertura_territorial_interna
Barracas,15,4,bajo (agregado sin PII),cobertura_territorial_interna
San Telmo,15,5,bajo (agregado sin PII),cobertura_territorial_interna
Boedo,14,7,bajo (agregado sin PII),cobertura_territorial_interna
Monserrat,13,4,bajo (agregado sin PII),cobertura_territorial_interna
Parque Chacabuco,13,6,bajo (agregado sin PII),cobertura_territorial_interna
Villa crespo,13,5,bajo (agregado sin PII),cobertura_territorial_interna
CABA,11,5,bajo (agregado sin PII),cobertura_territorial_interna
Parque Patricios,9,4,bajo (agregado sin PII),cobertura_territorial_interna
Liniers,9,5,bajo (agregado sin PII),cobertura_territorial_interna
Villa Real,8,4,bajo (agregado sin PII),cobertura_territorial_interna
Caba,7,5,bajo (agregado sin PII),cobertura_territorial_interna
San Nicolás,7,4,bajo (agregado sin PII),cobertura_territorial_interna
Floresta,7,5,bajo (agregado sin PII),cobertura_territorial_interna
Todas las sucursales,7,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa Del Parque,6,4,bajo (agregado sin PII),cobertura_territorial_interna
Villa Ortúzar,6,5,bajo (agregado sin PII),cobertura_territorial_interna
Villa Riachuelo,6,4,bajo (agregado sin PII),cobertura_territorial_interna
Villa Santa Rita,6,4,bajo (agregado sin PII),cobertura_territorial_interna
recoleta,6,4,bajo (agregado sin PII),cobertura_territorial_interna
San Cristóbal,5,4,bajo (agregado sin PII),cobertura_territorial_interna
Cañitas,5,2,bajo (agregado sin PII),cobertura_territorial_interna
Villa Ortuzar,5,3,bajo (agregado sin PII),cobertura_territorial_interna
Lugano,5,4,bajo (agregado sin PII),cobertura_territorial_interna
Núñez,5,4,bajo (agregado sin PII),cobertura_territorial_interna
La Boca,4,3,bajo (agregado sin PII),cobertura_territorial_interna
San nicolas,4,2,bajo (agregado sin PII),cobertura_territorial_interna
VILLA CRESPO,4,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa del parque,4,2,bajo (agregado sin PII),cobertura_territorial_interna
Constitución,4,2,bajo (agregado sin PII),cobertura_territorial_interna
Parque Chas,4,3,bajo (agregado sin PII),cobertura_territorial_interna
Devoto,4,4,bajo (agregado sin PII),cobertura_territorial_interna
Berazategui,3,3,bajo (agregado sin PII),cobertura_territorial_interna
La boca,3,3,bajo (agregado sin PII),cobertura_territorial_interna
Nueva Pompeya,3,3,bajo (agregado sin PII),cobertura_territorial_interna
BALVANERA,3,1,bajo (agregado sin PII),cobertura_territorial_interna
Parque chas,3,3,bajo (agregado sin PII),cobertura_territorial_interna
Villa del Parque,3,3,bajo (agregado sin PII),cobertura_territorial_interna
Microcentro,3,3,bajo (agregado sin PII),cobertura_territorial_interna
San Cristobal,3,2,bajo (agregado sin PII),cobertura_territorial_interna
PALERMO,3,3,bajo (agregado sin PII),cobertura_territorial_interna
Villa Luro,3,3,bajo (agregado sin PII),cobertura_territorial_interna
Villa Lugano,3,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa lugano,3,3,bajo (agregado sin PII),cobertura_territorial_interna
Quilmes,3,3,bajo (agregado sin PII),cobertura_territorial_interna
Montserrat,3,2,bajo (agregado sin PII),cobertura_territorial_interna
Parque Avellaneda,2,2,bajo (agregado sin PII),cobertura_territorial_interna
San telmo,2,2,bajo (agregado sin PII),cobertura_territorial_interna
