subcategoria_v2_normalizada,cantidad_registros,cantidad_hojas,estado_rubro,nivel_confianza
restaurantes,698,3,directo_hoja,media
pendiente_desagregar_hoja_mixta,587,2,pendiente_desagregar,baja
pendiente_revision_taxonomica,278,3,pendiente_taxonomica,baja
bares,269,1,directo_hoja,media
cafeterias,216,1,desagregado_tentativo,baja
bodegones,97,1,directo_hoja,media
parrillas,95,1,directo_hoja,media
heladerias,65,1,directo_hoja,media
pizzerias,50,1,desagregado_tentativo,media
pastelerias,30,1,desagregado_tentativo,media
cafeterias_de_especialidad,22,1,desagregado_tentativo,media
casas_de_pastas,19,1,desagregado_tentativo,media
empanadas,19,1,desagregado_tentativo,media
chocolaterias,11,1,desagregado_tentativo,media
confiterias,9,1,desagregado_tentativo,media
panaderias,8,1,desagregado_tentativo,media
rotiserias,7,1,desagregado_tentativo,media
