ruta_relativa,nombre_archivo,extension,tipo_archivo,tamano_aproximado,fecha_modificacion_si_disponible,carpeta_padre,posible_tema,posible_fuente_v2,nivel_sensibilidad_estimado,utilidad_datagastro_v2,accion_recomendada,contiene_pii_probable,observaciones
Algunas Cosas de Drive/AC_README.md.gdoc,AC_README.md.gdoc,.gdoc,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,administrativo_interno,I13_documental_dgdgas,bajo,baja,contexto_programas,no,readme/documentacion interna
Algunas Cosas de Drive/AC_README.md.zip,AC_README.md.zip,.zip,comprimido,50-500KB,2026-06-19,Algunas Cosas de Drive,administrativo_interno,I13_documental_dgdgas,bajo,baja,contexto_programas,no,readme/documentacion interna
Algunas Cosas de Drive/BD_README.md.gdoc,BD_README.md.gdoc,.gdoc,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,administrativo_interno,I13_documental_dgdgas,bajo,baja,contexto_programas,no,readme/documentacion interna
Algunas Cosas de Drive/Copia de ADE I SEGUIMIENTO.xlsx,Copia de ADE I SEGUIMIENTO.xlsx,.xlsx,planilla_excel,50-500KB,2026-06-19,Algunas Cosas de Drive,ferias_mercados,I12_seguimiento_ade_dgdgas,medio,media,pendiente_revision,revisar,"seguimiento/ranking de foodtrucks y eventos; incluye dashboards de gestion | hojas=6: 2026, RANKING FOODTRUCKS, ALIAS FT, DASHBOARD FT, 2025, MAUTINO Food trcuk Argentina"
Algunas Cosas de Drive/Copia de Base de datos   DGDGAS EVENTOS.gsheet,Copia de Base de datos   DGDGAS EVENTOS.gsheet,.gsheet,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,relevamientos_establecimientos,I10_directorio_gastronomico_dgdgas,alto,alta,fuente_para_catalogo_interno,si,directorio de locales por rubro; columnas de contacto (celular/mail/referente) = PII; usar agregado sin PII
Algunas Cosas de Drive/Copia de Base de datos   DGDGAS EVENTOS.xlsx,Copia de Base de datos   DGDGAS EVENTOS.xlsx,.xlsx,planilla_excel,50-500KB,2026-06-19,Algunas Cosas de Drive,relevamientos_establecimientos,I10_directorio_gastronomico_dgdgas,alto,alta,fuente_para_catalogo_interno,si,"directorio de locales por rubro; columnas de contacto (celular/mail/referente) = PII; usar agregado sin PII | hojas=15: BASE, Bares, Bodegones, Café y dulce, Cocina internacional, Hamburguesería, Heladería, Parrillas, Pizza, empanadas y pasta, Restaurantes, Restaurantes de autor, Foodtrucks, Organizadores, Emprendimientos, Comunas"
Algunas Cosas de Drive/Copia de Recap eventos.gsheet,Copia de Recap eventos.gsheet,.gsheet,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,eventos_gastronomicos,I11_recap_eventos_dgdgas,medio,alta,ancla_eventos,revisar,recaps de eventos propios por edicion; puede enriquecer F04 (eventos)
Algunas Cosas de Drive/Copia de Recap eventos.xlsx,Copia de Recap eventos.xlsx,.xlsx,planilla_excel,50-500KB,2026-06-19,Algunas Cosas de Drive,eventos_gastronomicos,I11_recap_eventos_dgdgas,medio,alta,ancla_eventos,revisar,"recaps de eventos propios por edicion; puede enriquecer F04 (eventos) | hojas=9: TOTAL, CONSOLIDADO, DASHBOARD RECAP, Sabor a Bs As , Experiencia BA, Mate BA, Corrientes 24hs, Barrios a la carta, Cafecito"
Algunas Cosas de Drive/DGDGAS.lnk,DGDGAS.lnk,.lnk,puntero_drive,<50KB,2026-06-22,Algunas Cosas de Drive,administrativo_interno,pendiente,revisar,descartar_por_ahora,no_usar_por_sensible,no,"puntero/acceso directo a Drive, sin contenido local; no se abre"
Algunas Cosas de Drive/Documento_Maestro_Ecosistema.gdoc,Documento_Maestro_Ecosistema.gdoc,.gdoc,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,documental_historico,I13_documental_dgdgas,bajo,media,fuente_documental,no,documento/informe institucional; util para contexto y casos historicos
Algunas Cosas de Drive/Eventos Acompañados.gsheet,Eventos Acompañados.gsheet,.gsheet,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,eventos_gastronomicos,I11_recap_eventos_dgdgas,revisar,media,ancla_eventos,no,eventos acompanados; revisar grano y fechas
Algunas Cosas de Drive/Informe_Base_de_Datos.gdoc,Informe_Base_de_Datos.gdoc,.gdoc,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,documental_historico,I13_documental_dgdgas,bajo,media,fuente_documental,no,documento/informe institucional; util para contexto y casos historicos
Algunas Cosas de Drive/Informe_Eventos_Acompanados.gdoc,Informe_Eventos_Acompanados.gdoc,.gdoc,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,documental_historico,I13_documental_dgdgas,bajo,media,fuente_documental,no,documento/informe institucional; util para contexto y casos historicos
Algunas Cosas de Drive/Informe_Recap_Eventos.gdoc,Informe_Recap_Eventos.gdoc,.gdoc,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,eventos_gastronomicos,I11_recap_eventos_dgdgas,medio,alta,ancla_eventos,revisar,recaps de eventos propios por edicion; puede enriquecer F04 (eventos)
Algunas Cosas de Drive/RYSDE DGGAS.gsheet,RYSDE DGGAS.gsheet,.gsheet,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,dudoso,pendiente,revisar,media,pendiente_revision,no,sigla no resuelta; requiere confirmacion con DGDGAS
Algunas Cosas de Drive/SYS_README.md.gdoc,SYS_README.md.gdoc,.gdoc,puntero_drive,0B (puntero),2026-06-19,Algunas Cosas de Drive,administrativo_interno,I13_documental_dgdgas,bajo,baja,contexto_programas,no,readme/documentacion interna
